time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,1035.6004959179422,4289.6033074312945,1596.3458090029735,3082.6561597526747,2352.7285511443697
2018,1054.5824213908652,4381.296851139117,1629.8667535857699,3131.0865857788203,2366.4401245218914
2019,1073.2217262897386,4470.806851915286,1664.707967512452,3178.036886557448,2379.392608208344
2020,1091.4922426055116,4557.888489826548,1701.1661152137742,3223.3438698739296,2391.524250422187
2021,1109.3579416462035,4642.234632485064,1739.5653773233585,3266.806153705452,2402.7588992917417
2022,1126.769895282803,4723.46350126082,1780.2470466166294,3308.177543738064,2413.0032350459805
2023,1143.6724820601391,4801.15026377825,1823.5730689916163,3347.1854025000557,2422.15406439774
2024,1160.0064713528977,4874.845468249739,1869.9202531573408,3383.541841304748,2430.102637057179
2025,1175.7111454179692,4944.090794748103,1919.667820140839,3416.953733996625,2436.7383885161926
2026,1190.7259622303666,5008.434718567505,1973.1784837406703,3447.133066922281,2441.952707989497
2027,1204.9910694144196,5067.445369764813,2030.7704737466051,3473.8061834485925,2445.64212156996
2028,1218.4542817682914,5120.75155744583,2092.7063353664203,3496.7385821346215,2447.7178705130077
2029,1231.0751490478387,5168.069857271765,2159.1776480883714,3515.75176452367,2448.112293547368
2030,1242.8273062407036,5209.2223004488,2230.2905703836095,3530.7345065706527,2446.7830280310714
2031,1253.6983928395834,5244.141556074075,2306.0503561657506,3541.646837373451,2443.714324092308
2032,1263.6862591065953,5272.859775251567,2386.33667479285,3548.5149624239966,2438.914643590567
2033,1272.8029652557523,5295.521278855983,2470.927059922376,3551.4373180136668,2432.419430652174
2034,1281.0742079390573,5312.372411692712,2559.5165158898544,3550.5774295668534,2424.28862617822
2035,1288.5364529026203,5323.739927582065,2651.7352383488633,3546.1501388239035,2414.6015414752983
2036,1295.2350201765175,5330.01027636609,2747.177771126541,3538.4076745429693,2403.451857940544
2037,1301.2244288996196,5331.613781588913,2845.451700649968,3527.627425948056,2390.9436178385968
2038,1306.5611363991088,5328.989393260311,2946.1687690172753,3514.091749580279,2377.1831312224485
2039,1311.3000337895724,5322.564463097854,3048.9494518262727,3498.075800939531,2362.274261371997
