time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,24.483471587161723,114.92914356661683,37.287394730871505,68.93830511050666,26.328565507241162
2018,24.36038552978576,113.66798324163557,38.056251708701396,68.78764626265972,26.027030404570958
2019,24.227025556414016,112.23012176852913,38.98924751212321,68.64489096128216,25.682642774347194
2020,24.074990533268313,110.55681517480186,40.100606730668325,68.49191937223819,25.281588627708448
2021,23.894944953033374,108.58517482504239,41.40279308441878,68.30791152371005,24.809108954058733
2022,23.6744222869525,106.23995765324686,42.90022299978306,68.06255967474492,24.247657801944015
2023,23.40705000841239,103.47744520546216,44.602509789015585,67.74187833359677,23.586964945397956
2024,23.089362801783015,100.27230126530402,46.51706771627111,67.33871029887274,22.821058718774317
2025,22.719761902064874,96.61489351391488,48.64443909748583,66.84916383596199,21.94769320601295
2026,22.297967489649434,92.51120787139146,50.973982984793196,66.27035839444358,20.96837451330784
2027,21.82375889000836,87.9800502729674,53.47759676495031,65.59598421054743,19.8877772801642
2028,21.303534110077127,83.08118304526847,56.123421597591836,64.83553322694783,18.72014126728135
2029,20.74741190907765,77.90140628347767,58.8718702115076,64.00622976388033,17.486076982471772
2030,20.16757192446868,72.5451726681471,61.67532888975615,63.128813630564814,16.210386242530358
2031,19.57587079451172,67.122097755874,64.47634532475274,62.22120035225603,14.919176965332925
2032,18.98008208547442,61.730643163023515,67.20003602443296,61.28751159422597,13.636149859195829
2033,18.39223907925436,56.48193671678821,69.78826180622947,60.34596442826816,12.387771897254812
2034,17.82412037489949,51.47696730982208,72.1950109836698,59.416622782573626,11.19802218805291
2035,17.284986367516495,46.795131841604515,74.38411045344746,58.51526133221842,10.085752960885378
2036,16.782686109164526,42.49513930998649,76.33691716023996,57.65771246956537,9.064817412465793
2037,16.326163767626444,38.6198989819758,78.0657597158575,56.868895464415125,8.145062486614584
2038,15.91715272130167,35.17712093598985,79.5738750606065,56.153813323408805,7.328246567691094
2039,15.554045927695052,32.15432468148541,80.8657242463332,55.509356401854454,6.611419377627394
2040,15.233877064673653,29.527109737983633,81.95144989587453,54.93017577799624,5.988797633846485
2041,14.952439195195934,27.26261288016478,82.84299837920773,54.408185921679845,5.452610619874308
2042,14.704122617735885,25.322272554371242,83.5489391994075,53.93109738979202,4.993798589505844
2043,14.484439495550987,23.66862967210905,84.0853771318361,53.49097327645832,4.603477450768735
2044,14.289324435478749,22.26532195605999,84.47030046571203,53.08132021732937,4.27299800672872
2045,14.1149152241878,21.077833087482173,84.72075838317357,52.69596115971921,3.994150421188841
2046,13.962174241687014,20.080907960198783,84.87988026643124,52.346141347990276,3.7605992223582443
2047,13.845742489290144,19.27021892433797,85.07219623074333,52.09402947713122,3.5700036894099467
2048,13.766854558961844,18.623585141977888,85.33873626440347,51.951122236366764,3.416765800572221
2049,13.72275020169547,18.11667192368178,85.69121845284933,51.91290940848307,3.2951006934469573
2050,13.711161693532265,17.72921392140469,86.13965174647186,51.975763770831975,3.200188189818387
2051,13.728370960579891,17.442063531537993,86.68074479310532,52.129702076893565,3.1276105616139707
2052,13.76545429066781,17.23221461859543,87.27448216614668,52.34418419473898,3.0724462149396925
2053,13.819435360737264,17.08655628896355,87.91512697158356,52.610582995903,3.0317075300968246
2054,13.889424370270461,16.996243800702846,88.60785628842424,52.927731287643034,3.003282091885814
2055,13.974705778672506,16.95397891632735,89.35709312515758,53.29474368958335,2.985425221806391
2056,14.072367423771208,16.950936276773394,90.15162261837514,53.70203146552392,2.9762046436575234
