time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,2.7918989979145468,19.680911450431253,3.5408455462422435,8.03763105666591,11.905387609811559
2018,2.8878695909573677,20.357436203383397,3.6625609229009095,8.313921928767291,12.31463130035486
2019,2.9851112495446825,21.04292138842645,3.78588825967378,8.593871996522205,12.72929462023496
2020,3.083544800294355,21.73681024138472,3.9107268158679016,8.877252946254396,13.149037727333887
2021,3.1830877631706045,22.4385244494376,4.036971229321871,9.163826448855554,13.573503780714608
2022,3.283654848883253,23.147468243929442,4.164512004805319,9.453345426069326,14.002320097522084
2023,3.3851584571770426,23.86303242422924,4.293236021852302,9.745555340172903,14.435099438285503
2024,3.4875091874898287,24.584598415439206,4.423027071273822,10.040195533914913,14.87144143361375
2025,3.5906163673204685,25.311542409946878,4.553766424127733,10.337000632562585,15.310934154844233
2026,3.694388600687703,26.043239617876488,4.685333434162636,10.635702012524408,15.753155825323535
2027,3.79873433703994,26.779068634979744,4.817606172741067,10.936029335816405,16.197676664156038
2028,3.9035624594141973,27.518415924119253,4.95046209360288,11.23771214551247,16.64406084990033
2029,4.008782889243896,28.260680395622373,5.083778723305049,11.540481513558767,17.091868587456457
2030,4.114307203932513,29.005278061941606,5.217434371743816,11.844071728840039,17.54065825728854
2031,4.220049262302173,29.751646734519465,5.351308855994383,12.14822201057532,17.989988622606646
2032,4.325925832200571,30.499250724713832,5.485284229713577,12.452678229770402,18.439421067062334
2033,4.431857213825695,31.247563660820866,5.6192455094777864,12.757194619372997,18.888521832802432
2034,4.537767851683199,31.99606480708021,5.753081388657267,13.061535451918886,19.336864226376456
2035,4.643586927560098,32.744374750978146,5.886684928800281,13.365476661914602,19.784030758141423
2036,4.749248926574835,33.49210528284822,6.019954218110233,13.66880738921747,20.229615179676088
2037,4.85469416823944,34.23891621762934,6.152792986442182,13.971331419223578,20.673224383338834
2038,4.959869294495965,34.9845190682992,6.285111166283243,14.272868495651448,21.11448012840117
2039,5.0647277067722545,35.728680360235636,6.4168253893341465,14.573255481902866,21.553020559016915
2040,5.169229944311086,36.471224533014485,6.547859408643434,14.872347347564084,21.98850148079986
2041,5.27334399662117,37.2120363803583,6.678144437002325,15.170017958216897,22.420597365496484
2042,5.377045543759895,37.9510629851661,6.807619393372263,15.466160649058333,22.849002056900176
2043,5.480354418360285,38.68831511291774,6.936231050301992,15.760688565403846,23.27342915535323
2044,5.583286529687784,39.42386803034658,7.063934076321183,16.05353475528903,23.693612062330793
2045,5.685796224674801,40.15786171843649,7.19069096833079,16.344652001522824,24.109303671040045
2046,5.787892384578244,40.890500456127626,7.316471870692562,16.63401238435922,24.52027569498187
2047,5.889591657344022,41.62205176075769,7.441254279720279,16.92160657058948,24.926317633272422
2048,5.990918187288085,42.35284468216226,7.565022634448232,17.207442829936852,25.32723537879762
2049,6.091903256589063,43.083267465594616,7.687767797326742,17.491545786190727,25.72284948370889
2050,6.192584843915003,43.81376462113384,7.809486431504728,17.773954917593265,26.112993105477212
2051,6.293007107078791,44.544833448529964,7.930180283292201,18.054722825376146,26.497509663136707
2052,6.3932197974841545,45.277020071689414,8.04985537975731,18.33391329235527,26.876250238460198
2053,6.493277614793152,46.010915040667186,8.168521152585042,18.611599156100162,27.249070761343404
2054,6.593239510279365,46.74714855713587,8.286189500028692,18.887860022767505,27.615829022112855
2055,6.693167946916132,47.486385373535164,8.402873799146906,19.162779848541014,27.97638155602073
2056,6.7931281244631165,48.229319416393274,8.518587881176256,19.436444417190945,28.33058044787449
2057,6.893196437276425,48.97666990146188,8.633344983553014,19.70893874384261,28.678270106987792
2058,6.993448408975961,49.72927774532963,8.747156692511608,19.98034443601813,29.019284063988877
2059,7.093938856334343,50.487794557510064,8.860031890388111,20.250737043482573,29.35344184156883
2060,7.194735991213109,51.25384046370428,8.971975721761389,20.520183428429128,29.68054595106613
2061,7.29590668761958,52.02898611643149,9.082988592362918,20.788739187077578,30.000379065913112
2062,7.3975156874836046,52.81274517272388,9.193065214324111,21.056446152950283,30.312701421546656
2063,7.499624834856747,53.60574460099447,9.302193710752627,21.323330010834425,30.6172484893943
2064,7.602298956766142,54.409322746073414,9.4103547915056,21.5893980480766,30.913728969605305
2065,7.705607730043303,55.223027580419036,9.517521010632958,21.854637066978018,31.20182314372697
2066,7.809580750716735,56.0467741134642,9.623656115232842,22.119011480583747,31.48118162579677
2067,7.914261635166541,56.88344443963916,9.72871449500211,22.382461613264947,31.751424547769354
2068,8.019687919098736,57.73295698583888,9.832640741297057,22.644902226587604,32.01214121239832
2069,8.125890579225338,58.595668882900334,9.935369324338188,22.906221290651576,32.26289024400646
2070,8.23289362210728,59.472915729898354,10.036824397075465,23.166279020906522,32.50320026464601
