time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,10.850226384467572,41.83984151692458,13.353433623349888,26.075634764733085,17.41864385608211
2018,11.028664830200857,42.70255049190024,13.589114054833631,26.569652428017264,17.61473918645596
2019,11.178390683609146,43.427260039434366,13.78688099195855,26.98429759542583,17.778897377917094
2020,11.175837374949007,43.41743891762831,13.783740909033437,26.978170664756757,17.774785551683742
2021,11.718841192013274,46.04286904289843,14.500076014532748,28.479081665857283,18.371994561016592
2022,11.871522685283873,46.78407417699497,14.701643293056497,28.901863631207455,18.538449572373565
2023,11.989533133581066,47.3586610947794,14.857474849536777,29.228933161105257,18.666302833016033
2024,12.208636023734028,48.42337780372538,15.146355628897695,29.83469502358941,18.904914131385517
2025,12.433859439867081,49.51935953729017,15.443117515434619,30.457014219514573,19.149606908152805
2026,12.633751125719703,50.49449921332599,15.706361988051059,31.009215370250033,19.36574729352591
2027,12.833698173800073,51.472034455150485,15.969435427378668,31.561115842024428,19.58112034787776
2028,13.033755863643451,52.45260206592332,16.23234609119985,32.11272643041066,19.79565686370334
2029,13.233990931184078,53.4369627343848,16.49510164949237,32.664052738783695,20.009278440514965
2030,13.434483703261392,54.42602511837884,16.757708520495584,33.215092750520625,20.22189565479556
2031,13.573399051419232,55.117832334088,16.93949884138338,33.59716289774844,20.366312405839796
2032,13.712457748571865,55.81414643993202,17.120968937635183,33.97861216135445,20.509446998888226
2033,13.851770780932679,56.5161699604927,17.302133761142976,34.359449074691305,20.651196482787515
2034,13.991469410736286,57.225328989013235,17.483004826793632,34.73966666633992,20.791441138394084
2035,14.13170861037168,57.94331291120014,17.66358885157806,35.11923783328837,20.930041266220996
2036,14.253459046654159,58.575874687234894,17.819427455293834,35.447143068278585,21.046698892631554
2037,14.376116028054737,59.220727384601204,17.97511747280729,35.77462692101264,21.161547063577146
2038,14.499908684238704,59.88039395010576,18.130647579311397,36.10159184200021,21.274380833982494
2039,14.62510359146946,60.55782064316255,18.28599581475301,36.427900652091694,21.38496215502681
2040,14.752008410145228,61.2564200712887,18.44112784264107,36.753370898982666,21.493016215996185
2041,14.883126592477344,61.99144945219291,18.598592107181403,37.08313667727189,21.600312618573202
2042,15.016627047755506,62.75575071384075,18.755597320818932,37.411261055188646,21.704290076247005
2043,15.152952284377958,63.55426983708717,18.912066798149155,37.73740838902161,21.804552941720562
2044,15.292584503582201,64.39240611472181,19.0679107415884,38.06119632812236,21.900669498080035
2045,15.43603781970233,65.27592197593258,19.223029138518545,38.382205748691995,21.992179436360225
2046,15.569798222642628,66.13019126628951,19.36202459524696,38.66893576656902,22.066987017470268
2047,15.708244541284058,67.03907110591813,19.500261268244845,38.952513346575714,22.136542768689264
2048,15.851887389009836,68.00826143444908,19.63764680515775,39.23253940992674,22.20039588968087
2049,16.001208604952485,69.04311965718095,19.77410225262432,39.50865822124991,22.25812572003266
2050,16.156643082548953,70.14845003879526,19.909568944989918,39.78058093893324,22.309359120082718
2051,16.31895367999072,71.33078403256472,20.04438365782771,40.04883554875234,22.35404160604249
2052,16.487976347228365,72.59045207817834,20.178096551658292,40.31243245422506,22.391620261742197
2053,16.66392790876542,73.92971432662318,20.31073579981369,40.571375388919584,22.421935631829257
2054,16.846946371427034,75.34992231664421,20.442357627087176,40.825765596713815,22.44490253602531
2055,17.037096214527146,76.85158781091192,20.573041960366663,41.07578917039397,22.460502999515512
2056,17.22981725230422,78.40381973473063,20.69906437161069,41.3143498133997,22.466371088359367
