time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,1710.3330888021435,4666.505239512347,2746.809174497652,5943.618858246924,2345.991984464379
2018,1756.8547488924364,4818.69539811258,2815.2404935049635,6097.102053930702,2370.7535588224755
2019,1801.4521281879574,4964.942852422264,2880.7599750679146,6244.109694960377,2393.9978005520484
2020,1844.1315013210371,5105.27564866399,2943.3759510670866,6384.65807653793,2415.7243448749186
2021,1884.9158279630713,5239.752378484225,3003.110544953342,6518.793741324686,2435.9389015230736
2022,1923.881454652404,5368.6211232868845,3060.074008426604,6646.75898979021,2454.6865060858026
2023,1961.1125269938627,5492.192199905502,3114.4048144174476,6768.85819741682,2472.024555770415
2024,1996.7339091764652,5610.791390694667,3166.247494164447,6885.408247832403,2488.01277156498
2025,2030.8474792035854,5724.759355931159,3215.7520717781713,6996.737053232539,2502.7128179659585
2026,2063.52304350091,5834.432058110998,3263.016550050711,7103.162147533101,2516.1839036148103
2027,2094.8352495921845,5940.083006742564,3308.2513732068464,7204.929635920432,2528.4704308290356
2028,2124.859645673112,6041.981262979915,3351.518903307998,7302.273321059138,2539.6137435514015
2029,2153.6785801051424,6140.411197447669,3392.9332598744827,7395.433568607662,2549.6557428017054
2030,2181.373435803134,6235.6733093756075,3432.6123038902842,7484.656119294082,2558.6384388214965
2031,2208.0260228584852,6328.077847308707,3470.6738726646718,7570.183122186545,2566.6019103939766
2032,2233.71072496996,6417.921137190976,3507.2239644523916,7652.226271612905,2573.5786804652334
2033,2258.5002611211767,6505.505885290164,3542.365165680798,7730.984775664754,2579.5969947191234
2034,2282.4679504411074,6591.150618797007,3576.1998435953524,7806.651555120286,2584.681687362746
2035,2305.687821614236,6675.1924676361305,3608.830109225726,7879.41216583135,2588.853548706454
2036,2328.2241725096815,6757.964330682177,3640.346151361648,7949.418089656602,2592.1236531369013
2037,2350.114761746293,6839.719087959861,3670.791437024491,8016.709730821483,2594.4780926456087
2038,2371.3908095092725,6920.707504767523,3700.1976313355394,8081.29304260404,2595.892894441403
2039,2392.0830595088496,7001.205142519334,3728.5961928686033,8143.164610204989,2596.3387485177327
2040,2412.223268693451,7081.5125598217055,3756.018330754086,8202.311454982453,2595.78092313649
2041,2431.8447725536307,7161.876278658344,3782.4621474899036,8258.640929751322,2594.1664590126093
2042,2450.932574139999,7242.331022262245,3807.7952014912057,8311.776250162839,2591.3883227152432
2043,2469.1696825517824,7322.6086190094275,3831.854796039747,8361.279970698015,2587.3303611060937
2044,2486.539708365773,7402.563386059212,3854.481277081956,8406.731209066413,2581.8840988002135
2045,2503.054950592908,7482.025145245681,3875.5182486996537,8447.732314431783,2574.9526638344855
2046,2518.6376740931264,7560.910791516871,3894.8753792315265,8484.044079105539,2566.4760031581764
2047,2533.4752410866954,7639.751016540486,3912.7155676622965,8515.963775462573,2556.4906088972316
2048,2547.6397234445353,7719.22932322534,3929.2654492827414,8543.924726024912,2545.0580857885598
2049,2560.9022875709857,7800.014642547822,3944.752278832344,8568.367044492008,2532.2439073621586
2050,2573.8617694116833,7882.758049657766,3959.403678250467,8589.738028750944,2518.117893844189
2051,2586.6886706062596,7968.230308875726,3973.4739349946863,8608.428662526654,2502.746041781897
2052,2599.39393756518,8056.969160849436,3986.906752339382,8624.590184800118,2486.1696692208507
2053,2611.8817458200524,8147.484156896366,3999.790166327893,8638.332260116986,2468.4348938424323
2054,2624.2406351784925,8240.19509432168,4012.154315227152,8649.783479573627,2449.599138944774
2055,2636.740634537321,8335.133532193056,4024.029990126438,8659.086516356068,2429.728194233399
2056,2648.440340942532,8432.131653155227,4035.451157492418,8666.39753379443,2408.8935053917758
2057,2659.9825092945844,8531.049031956656,4046.4620955344108,8671.893668656296,2387.170167117995
2058,2671.563949528783,8631.755361059048,4057.108601064347,8675.752916107109,2364.6326674603006
2059,2683.2274508586656,8734.129545599055,4067.435183647761,8678.146105485848,2341.3525426489173
2060,2694.811745231329,8838.065322776787,4077.543377421645,8679.234655265054,2317.3970872625523
2061,2706.301443325237,8943.302845128948,4087.316837559702,8679.089631498147,2292.822998492963
2062,2717.5427601745428,9048.91140803927,4096.6114469250615,8677.458239182055,2267.661448224188
2063,2728.45815306706,9153.804589232017,4105.1942229356855,8674.010011863977,2241.937140567154
2064,2738.7223576467354,9256.91744425016,4112.831055335179,8668.415698013054,2215.673102641652
2065,2747.9260967757564,9357.210032322038,4119.29088514853,8660.346238583881,2188.889998172469
2066,2756.368536125048,9453.825113877087,4124.387195693276,8649.541154599452,2161.609836014478
2067,2763.843625972878,9546.554841568548,4128.101027237107,8636.01161671223,2133.867133009461
2068,2770.36181498784,9635.366806075646,4130.454381741407,8619.829255687586,2105.6960801643872
2069,2775.933722940346,9720.243541028267,4131.568449304946,8601.057824330119,2077.1271722669453
2070,2780.569959393679,9801.179068705249,4132.327265358572,8579.754274138544,2048.187919722917
2071,2784.3081392383892,9878.314109763613,4130.779505545854,8556.029485360688,2018.9066636485838
2072,2787.3680080221725,9952.344026293798,4128.166599108073,8530.225790774486,1989.3223321781816
2073,2789.8113553375692,10024.09356565659,4124.810135245095,8502.733776172568,1959.4748394713033
2074,2791.750938962748,10094.447893074053,4120.753703999269,8473.93238112006,1929.4023594209827
2075,2793.43361645011,10164.261892840781,4116.3062688479085,8444.189150108283,1899.1417445333004
2076,2794.9798503931415,10233.771322943305,4111.621385150174,8413.76271568923,1868.7238082778636
2077,2796.334560718936,10302.782147025,4106.747425014629,8382.515218138962,1838.1588631312723
2078,2797.4143521259834,10370.696503910005,4101.573079628819,8350.214043364218,1807.4525994464038
2079,2798.0054006021214,10436.915657410767,4095.715842734457,8316.63113997902,1776.6112580698075
2080,2798.043343310616,10500.890461168994,4088.916974848508,8281.543535746301,1745.6416759217016
2081,2797.456766949558,10562.221262457602,4081.2335441223727,8244.802158654222,1714.5548021188863
2082,2796.334824680507,10621.151925586993,4072.7752197890877,8206.534035693805,1683.3759595025535
2083,2794.3888352054914,10678.078313634715,4063.656941561984,8166.931827270225,1652.134097497028
2084,2792.4854980296896,10733.386552867754,4053.9903211840865,8126.184785695938,1620.8582894553788
2085,2790.287602118534,10787.452804708772,4043.8846946336034,8084.4788483025295,1589.5777370930064
2086,2787.840283321448,10840.594237361052,4033.4343440408984,8041.97581018129,1558.3207001539222
2087,2785.103303846876,10892.92398775053,4022.6806127350983,7998.751404149818,1527.1113361200855
2088,2782.1013465564697,10944.500867438728,4011.651062069808,7954.859438707318,1495.972911178967
2089,2778.9072399150523,10995.378828885878,4000.3724058569624,7910.353004358176,1464.9288214171004
2090,2775.5370475708714,11045.607116399662,3988.8705452687273,7865.284562926359,1434.0025368551096
2091,2772.3798372364745,11095.175508572052,3977.287918006911,7819.682541022626,1403.2163519893927
2092,2768.705976065914,11143.852785542864,3965.6239251410434,7773.482256289248,1372.5878251286626
2093,2764.580057983155,11191.35691897839,3953.3891440319862,7726.598686301065,1342.1333822729507
2094,2759.8933066246836,11237.410993568434,3940.7266692408803,7678.950352402573,1311.8694451921663
2095,2755.2362754074147,11281.743438854732,3927.6317060158694,7630.459380570954,1281.8123541552786
2096,2750.187392980706,11324.088217778297,3914.0498963375876,7581.051537310374,1251.9782893347256
2097,2744.738155673288,11364.18497808498,3900.3362718321328,7530.656243878553,1222.3831920780754
2098,2738.779684629618,11401.779174440962,3885.628987739676,7479.206572822595,1193.0426872639932
2099,2732.3249067526135,11436.622170598743,3870.282223044532,7426.639231355258,1163.9720079572044
2100,2725.3395436684896,11468.471332150075,3854.2486144365416,7372.894536509051,1135.18592354692
