time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,9.36314304054912,5.97139327175052,14.142681951007695,31.964782721089986,0.0
2018,9.245697735340839,5.90652153587168,13.972811668181592,31.559103990531266,0.0
2019,9.111286539745581,5.8325922715223975,13.780387354517025,31.093955696554506,0.0
2020,8.95483299161695,5.746571994243348,13.559015706371294,30.55144800703614,0.0
2021,8.770986562816889,5.6452117307376195,13.302375553949593,29.91255775297835,0.0
2022,8.553519535593814,5.524618478096813,13.003444859946457,29.155013969498526,0.0
2023,8.298939987807053,5.382534518234532,12.660142850488917,28.265548036665724,0.0
2024,8.00549069747857,5.217652875260372,12.273998744468438,27.236384453416882,0.0
2025,7.673012033621392,5.029476080897808,11.850090546549954,26.06467325405945,0.0
2026,7.3030215743444,4.818309374375937,11.397201240626826,24.752665873989447,0.0
2027,6.898577588187161,4.585112339934951,10.927395346550462,23.307187255553703,0.0
2028,6.466538464064276,4.33296333817478,10.45901154098994,21.747247938404463,0.0
2029,6.016424581154685,4.066336599913316,10.01396445757532,20.100147590415265,0.0
2030,5.5595919867004575,3.7906160487741514,9.614939776442434,18.398736689279673,0.0
2031,5.108103413390874,3.511447479965679,9.281587427275776,16.67783838553185,0.0
2032,4.673235535876866,3.233889267613469,9.025880836779239,14.969817537174515,0.0
2033,4.266921270862883,2.963664570913751,8.85385297400416,13.30997278988662,0.0
2034,3.8995422958500554,2.705977773743749,8.762962692401787,11.730064179686527,0.0
2035,3.578582930647396,2.4649199851163397,8.742627635354314,10.255061220461954,0.0
2036,3.308287200791888,2.2435200179150616,8.77786597665531,8.903049468284632,0.0
2037,3.0898627898264963,2.0440050774028475,8.854132965157886,7.686037358621656,0.0
2038,2.9201223207074216,1.866773671923171,8.955658939568034,6.606134977285076,0.0
2039,2.7930905883125736,1.7111785680413627,9.068634094440364,5.65947444647083,0.0
2040,2.701393093973588,1.5759577531661075,9.182548059440908,4.838427479520558,0.0
2041,2.6372993216570944,1.4594115470501217,9.289849191264416,4.132799996978967,0.0
2042,2.5934900172962125,1.359543115175472,9.385058357263027,3.5308843037473023,0.0
2043,2.5639470064978274,1.2744172915652212,9.465530142896363,3.0209447236302913,0.0
2044,2.543956521252541,1.2021574140940654,9.530351072703027,2.5914794152922496,0.0
2045,2.5299821420609594,1.1409827290222265,9.579610121583995,2.2315716453371066,0.0
2046,2.520301638664159,1.0896083283704339,9.617127001130017,1.9318047289454672,0.0
2047,2.516420633123119,1.0478820078526745,9.656506598543604,1.6851042279782729,0.0
2048,2.517988341857932,1.0146793648821582,9.702275288619377,1.4830528585113076,0.0
2049,2.52427074269651,0.988747880977432,9.755829233494845,1.317968182149541,0.0
2050,2.534828630587025,0.9690451426935707,9.818469632682222,1.18344077414925,0.0
2051,2.549070390651223,0.9545789748730674,9.890025773958099,1.0740090233252357,0.0
2052,2.5654887006917018,0.9441356744674835,9.966141440351576,0.9847918063905975,0.0
2053,2.5836953248427106,0.9370342068493853,10.046357167425326,0.9122117878299854,0.0
2054,2.6036964518378567,0.9328209009223082,10.13144653877383,0.8534338957661127,0.0
2055,2.625525530940038,0.9311216590872623,10.222080362926647,0.8061117250937423,0.0
2056,2.6487897085852063,0.9314738961694812,10.317121018486207,0.7681800484690081,0.0
2057,2.671768150098868,0.9330086746417402,10.410149077274541,0.7375704688727936,0.0
2058,2.6940418978317684,0.9353674808362208,10.499737210008375,0.7129157635777961,0.0
2059,2.7156276963498924,0.93837912131519,10.586103664837804,0.6931850394207328,0.0
2060,2.736537462709345,0.9418989764651285,10.669410790114695,0.6775173985394981,0.0
2061,2.7563808619613215,0.9456685469451832,10.748225091475513,0.6650990664705428,0.0
2062,2.7735825263024796,0.9490457732578496,10.816470716088691,0.6549656240578968,0.0
2063,2.787763980113434,0.951818858601559,10.872722741871218,0.646555911455105,0.0
2064,2.7989416091731147,0.9539244988241312,10.917085223781324,0.6394799681049398,0.0
2065,2.807128301753227,0.9553090195351546,10.94964044074732,0.6334097489051659,0.0
2066,2.812903667383001,0.9561206371330234,10.9726750211434,0.6281971366967001,0.0
2067,2.818554568502601,0.9570944181303289,10.995130911253964,0.6241129755016287,0.0
2068,2.8246479349616704,0.9583862523926929,11.019237477089291,0.6210751895902248,0.0
2069,2.8311744221640307,0.959962605154873,11.044972632989083,0.6189097670846839,0.0
