time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,0.0005009683324861598,0.0002644278409371389,0.0007276714858651167,0.001653640866357143,0.0
2018,0.0006054049447111208,0.00031955297778623145,0.0008793687886055676,0.0019983745325795085,0.0
2019,0.0007250993980260253,0.0003827317134663011,0.001053228561859565,0.002393472638872063,0.0
2020,0.000861418099754827,0.00045468528346423773,0.0012512355531338383,0.0028434455441677378,0.0
2021,0.0010157745739348266,0.0005361597930535752,0.0014754429483840648,0.0033529591344719357,0.0
2022,0.0011896266885495655,0.0006279247537673474,0.0017279683445374434,0.003926825670378498,0.0
2023,0.0013844736713942802,0.0007307715083545499,0.0020109894150708244,0.0045699939370502886,0.0
2024,0.0016018528573864368,0.0008455115140626285,0.0023267391856429793,0.005287538508041725,0.0
2025,0.0018433361177699352,0.0009729744581380501,0.0026775008478634264,0.006084647959528595,0.0
2026,0.0021105259250200213,0.0011140061811969857,0.003065602044197004,0.006966611882682345,0.0
2027,0.002405051008846925,0.0012694663849654167,0.003493408559313749,0.007938806547176174,0.0
2028,0.0027285615594701803,0.0014402261013145847,0.003963317354336526,0.009006679071406178,0.0
2029,0.003082723935038411,0.001627164899847451,0.004477748881489319,0.010175729957395772,0.0
2030,0.003469214830727188,0.0018311678116656627,0.005039138617622171,0.011451493850559703,0.0
2031,0.003889714868141377,0.0020531219474842458,0.005649927756733886,0.012839518388237917,0.0
2032,0.004345901565026719,0.002293912788958999,0.006312553003660359,0.014345341005553534,0.0
2033,0.00483944164713578,0.0025544201330409636,0.007029435413825487,0.015974463573343384,0.0
2034,0.005371982666496893,0.002835513670370792,0.007802968227491894,0.017732324750949175,0.0
2035,0.00594514389321067,0.0031380481802392823,0.008635503651167513,0.01962426994623384,0.0
2036,0.006560506451543934,0.003462858326503997,0.009529338544151772,0.02165551878729462,0.0
2037,0.007219602675470442,0.003810753041137766,0.01048669897459285,0.023831130024850808,0.0
2038,0.007923904664180198,0.004182509484887754,0.01150972361726602,0.02615596380209332,0.0
2039,0.008674812024423578,0.004578866577825805,0.012600445974518901,0.02863464124976572,0.0
2040,0.00947363879413191,0.005000518096520353,0.013760775412879265,0.03127150138934885,0.0
2041,0.010321599550412185,0.0054481053390821625,0.014992477020414998,0.034070555355837424,0.0
2042,0.011219794715073138,0.0059222093646018,0.016297150304583823,0.037035437984870606,0.0
2043,0.01216919508221809,0.0064233428194268955,0.01767620676687874,0.04016935684663015,0.0
2044,0.01317062560525075,0.006951941369450631,0.01913084640920803,0.04347503885124951,0.0
2045,0.014224748494938638,0.007508354765066384,0.02066203324775409,0.046954674597749727,0.0
2046,0.015332045695941895,0.008092837573690571,0.02227046993299253,0.050609860690638823,0.0
2047,0.016492800826544224,0.008705539623871179,0.023956571599738814,0.054441540305532006,0.0
2048,0.017707080685060366,0.009346496214796916,0.025720439098359648,0.058449942347115924,0.0
2049,0.018974716446625812,0.010015618155661783,0.027561831787680846,0.06263451960956788,0.0
2050,0.020295284695631396,0.010712681710633982,0.029480140101489437,0.0669938864208154,0.0
2051,0.021668088461785064,0.011437318537112072,0.031474358133539465,0.07152575632701964,0.0
2052,0.023092138451549792,0.012189005717438231,0.033543056520521905,0.07622688045218806,0.0
2053,0.02456613469125932,0.012967055997106508,0.03568435593815297,0.08109298724891037,0.0
2054,0.026088448823235705,0.013770608355655299,0.037895901561893826,0.086118724438833,0.0
2055,0.027657107321365323,0.014598619049624628,0.040174838880337134,0.09129760402447105,0.0
2056,0.02926977591743034,0.015449853279995257,0.042517791285385007,0.09662195133594795,0.0
2057,0.03092374555357786,0.016322877649152367,0.04492083989833504,0.1020828591557676,0.0
