time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,0.0008447611478667518,0.005193292768028127,0.0008269007465147148,0.0018115139597592678,0.0023912759735324842
2018,0.0010208681029735618,0.0062759361160049845,0.0009992843515181412,0.002189159425427174,0.0028897841167921266
2019,0.001222704461343023,0.007516756562246905,0.0011968533565046542,0.0026219795554734133,0.003461124229492443
2020,0.0014525779905447146,0.008929950134616931,0.0014218666515249641,0.003114924496818506,0.004111826201506674
2021,0.0017128815447005137,0.010530249344899748,0.0016766662857610696,0.003673128931512457,0.004848656551443342
2022,0.0020060897874330593,0.012332906371522118,0.001963674230988035,0.0043019055607449235,0.005678608094991896
2023,0.002334756372564703,0.014353680998747592,0.0022853895853582047,0.005006739857231944,0.0066088902775679696
2024,0.0027015136037720788,0.016608850777940044,0.002644388153138368,0.0057932911936378105,0.007646924293907204
2025,0.003109068040724889,0.01911518791264936,0.003043318123671656,0.006667384001528897,0.008800329391373346
2026,0.0035601948433509494,0.021889926862113558,0.0034848945359606445,0.007634995980556432,0.010076906071278645
2027,0.004057732633095923,0.024950738016372147,0.0039718942441804616,0.008702247835365898,0.01148461980212394
2028,0.0046045780303776125,0.02831570045597168,0.004507150578470507,0.00987539245574636,0.013031583438187918
2029,0.005203681414454191,0.03200323481460188,0.005093547713944775,0.011160803568932258,0.014726038280295927
2030,0.005858038395829809,0.036031961730039815,0.0057340140675009345,0.012564962136765572,0.016576332275418125
2031,0.0065706796619337225,0.04042109932879806,0.0064315145450358855,0.014094440054369398,0.018590894908456355
2032,0.007344665552419034,0.04518998104353064,0.0071890416293312834,0.015755881135224522,0.02077820869373547
2033,0.008183073646045135,0.050358126571948374,0.008009604735684,0.017555978020251287,0.023146776087317952
2034,0.009088985470729196,0.05594518221844899,0.008896217337836056,0.019501443848069035,0.02570508081048025
2035,0.01006548407746261,0.061970834911531006,0.009851882863752954,0.021598981094189222,0.028461545463968705
2036,0.011115892109206679,0.06845462136529212,0.010879579523423,0.023855247949674918,0.03142448566459219
2037,0.012243034145332473,0.07541594127349435,0.011982243920305476,0.02627682186044518,0.03460206033681561
2038,0.0134498550381254,0.08287390662687998,0.013162753189742783,0.028870159650933376,0.03800221765584032
2039,0.014739228211798358,0.0908472187121572,0.01442390546512831,0.031641553795105054,0.04163263626364577
2040,0.016113927066383402,0.09935631167306337,0.01576839901229366,0.034597085514696015,0.04550066225792437
2041,0.017576314896857972,0.10841869013040083,0.01719881010213107,0.03774257480506285,0.0496132420167974
2042,0.019129466809629476,0.11804979872484635,0.018717569605004945,0.041083527307260254,0.053976850799751
2043,0.020775466628389284,0.1282654438526448,0.020326938356015473,0.04462507807168672,0.058597417182523565
2044,0.022516397205749623,0.13908028948061085,0.022028981363460164,0.048371932310510006,0.06348024344915532
2045,0.02435402263810547,0.15050768432495182,0.023825540886951994,0.05232830318095212,0.06862992205916602
2046,0.02629005756364271,0.1625506992151587,0.025718208474418417,0.05649784676509469,0.07405024843168587
2047,0.02832584362808927,0.17521943205229476,0.027708296090545752,0.0608835945023002,0.07974413039184641
2048,0.030462388996458402,0.18852765489666376,0.029796806563380317,0.06548788347160735,0.0857134947560578
2049,0.03270034521308799,0.20248810431143913,0.03198440359338351,0.07031228497584138,0.09195919161827404
2050,0.03503997421954311,0.2171141696569224,0.03427138141793393,0.07535753172487535,0.09848089687224301
2051,0.03748111505698813,0.2323944353461634,0.036657905263590765,0.08062344413005196,0.10527701369395079
2052,0.04002315054780794,0.24832772720879923,0.039143401952140965,0.0861088563460399,0.11234457384665612
2053,0.04266243366279112,0.2649106101912095,0.041726186774584555,0.09181154262753077,0.11967913972150321
2054,0.04539878769330624,0.28213574609237196,0.044405229062405786,0.09772814468283421,0.12727470815915778
2055,0.048230542506879366,0.2999932329009721,0.047178523602297275,0.1038541012180445,0.13512361739442438
2056,0.051155497152503976,0.31846848735593886,0.050043519977769395,0.11018358070698325,0.14321645847251113
2057,0.05417219389499358,0.3375402749450608,0.05299709802921175,0.11670941842323428,0.151541992562566
2058,0.05727490486790486,0.3571804101395397,0.056035546077960324,0.12342305894440828,0.16008707573334788
2059,0.060458445386193556,0.3773721762536913,0.059154542542462295,0.13031450540452666,0.1688365928516968
2060,0.06371753665382822,0.3980861727726517,0.06234915236891442,0.13737227662117657,0.17777340228381047
2061,0.06704612010014038,0.41928296583564645,0.0656150225063154,0.14458337340399227,0.1868782931926213
2062,0.07043743685708652,0.44085770025549087,0.06894567330529046,0.1519332554388788,0.1961299572925129
2063,0.07388402462027213,0.4628375938011453,0.07233324292265296,0.15940583020659946,0.20550497696214326
2064,0.07737396919603465,0.4851585750442419,0.07577017502665107,0.16698345538415627,0.21497783161480433
2065,0.08090090654457145,0.5077788280707521,0.07924828304936805,0.17464695600718066,0.2245209241573937
2066,0.08445850103764813,0.5306430924356154,0.08275877025288664,0.18237565770875225,0.2341046293276966
2067,0.08803154957745515,0.5537303117486764,0.08629140410480846,0.19014743730177722,0.24369736560336405
2068,0.09161029436877599,0.5770393505890992,0.08983751848724923,0.19793879182718124,0.25326569222020934
