time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,1027.9271203693675,4291.160965276983,1587.5836158705874,3087.4464710557827,2352.7285511443697
2018,1046.833605797416,4382.887987571707,1619.3463005862966,3137.8958516672483,2366.4401245218914
2019,1065.4145325191048,4472.430672489713,1652.1030235539354,3187.262347191231,2379.392608208344
2020,1083.646580554468,4559.544110952233,1686.0904979232073,3235.455557988126,2391.524250422187
2021,1101.496969791557,4643.921058715267,1721.565645587188,3282.355806183554,2402.7588992917417
2022,1118.9203942869171,4725.179598081593,1758.7963568179089,3327.806120854717,2413.0032350459805
2023,1135.8651423104873,4802.894741917018,1798.0658596354147,3371.629567336195,2422.15406439774
2024,1152.2760775794445,4876.616874702943,1839.6687074735337,3413.6382669130617,2430.102637057179
2025,1168.0966230451813,4945.8875095474605,1883.9010841014035,3453.640059588862,2436.7383885161926
2026,1183.270242384416,5010.254957250646,1931.045701363248,3491.4442191182,2441.952707989497
2027,1197.7407215860505,5069.2871905249995,1981.349006650659,3526.864412966314,2445.64212156996
2028,1211.458928773037,5122.612883235139,2035.013660694913,3559.739002951805,2447.7178705130077
2029,1224.3866853500106,5169.9485077750805,2092.186984478324,3589.9433522359645,2448.112293547368
2030,1236.4989578431037,5211.11603050225,2152.949676028155,3617.397239571456,2446.7830280310714
2031,1247.7836553070929,5246.048095967686,2217.3031096377704,3642.065466732977,2443.714324092308
2032,1258.2377088244584,5274.77686695622,2285.14822391463,3663.948480565641,2438.914643590567
2033,1267.8711838567062,5297.446716884145,2356.305674150568,3683.0923983579078,2432.419430652174
2034,1276.7068734801855,5314.304080266627,2430.531755228675,3699.5863326402746,2424.28862617822
2035,1284.7776250034221,5325.675829927196,2507.532237090409,3713.553342570407,2414.6015414752983
2036,1292.1246926868075,5331.948556462504,2586.985792453478,3725.1434575611174,2403.451857940544
2037,1298.7984641385308,5333.552740170309,2668.583961559644,3734.5320261563024,2390.9436178385968
2038,1304.8512622845376,5330.927490959078,2752.0221547774822,3741.8996989694774,2377.1831312224485
2039,1310.3339419608171,5324.500316217832,2837.002572581104,3747.4222894666823,2362.274261371997
2040,1315.294438776872,5314.675168941368,2923.242151801246,3751.265820553516,2346.315584711016
2041,1319.7764855677915,5301.823955863951,3010.475405232187,3753.5825367608227,2329.398395341432
2042,1323.81822799944,5286.280812113849,3098.450566856632,3754.507253271655,2311.605407277021
2043,1327.4532639328822,5268.343185588414,3186.93896780839,3754.15948625348,2293.01092092251
2044,1330.7110434500282,5248.272914597866,3275.7373171826534,3752.644397037525,2273.681048633333
2045,1333.6170813818549,5226.29805521304,3364.666387573337,3750.0535308205344,2253.6741448656076
2046,1336.1975202985172,5202.622135550117,3453.6031100634573,3746.4750244502848,2233.042671738861
2047,1338.4919846638352,5177.445095535127,3542.581315245079,3742.021392992182,2211.837185672081
2048,1340.5410189825448,5150.9453849543115,3631.688127552717,3736.8028584700487,2190.1030729186755
2049,1342.382396303985,5123.277786632368,3721.027307088705,3730.9200957816392,2167.880356756088
2050,1344.0516344879572,5094.577474237437,3810.7168156662055,3724.465957654568,2145.2046576109124
2051,1345.5806867923238,5064.961115508495,3900.8720346652335,3717.5232569580025,2122.107592543536
2052,1346.9931159181376,5034.522993042823,3991.5599195052823,3710.1550887502544,2098.616270153911
2053,1348.3096961401172,5003.34490316054,4082.841343752741,3702.417087908248,2074.755225163459
2054,1349.550391172376,4971.500418625662,4174.784498918,3694.3619031121752,2050.5472961133264
2055,1350.7345383417726,4939.056429169868,4267.46383333217,3686.039831536755,2026.01399747813
2056,1351.878813874178,4906.071604997204,4360.940517271008,3677.4947590483494,2001.175338270257
2057,1352.9907611045257,4872.589063449654,4455.205250039017,3668.7507799365117,1976.0486209346502
2058,1354.0753762932086,4838.645735390319,4550.232607990974,3659.826178710092,1950.6501571846798
2059,1355.137350395056,4804.275818800729,4645.999002628261,3650.7382418341363,1924.9959262527145
2060,1356.1811161718454,4769.511294096882,4742.48215518652,3641.5034460477664,1899.1017114776046
2061,1357.2089279508675,4734.379876780099,4839.6438584954385,3632.1335155962674,1872.9827869332532
2062,1358.2150795974244,4698.898058817765,4937.379693919926,3622.6233926679506,1846.652749356801
2063,1359.191869313524,4663.078952361105,5035.569538122387,3612.9637811248886,1820.1249184522524
2064,1360.1315849302064,4626.9349937122415,5134.09417673764,3603.1453418667734,1793.4128362986107
2065,1361.0265160511838,4590.478112503457,5232.835085623213,3593.158751371453,1766.530323252879
2066,1361.8717682189113,4553.723389190591,5331.698340161155,3583.0006136053585,1739.492135351187
2067,1362.6736826690772,4516.699702686987,5430.686770519816,3572.6910841188414,1712.3158280190535
2068,1363.4413746087846,4479.439162448558,5529.827156458194,3562.2561902845437,1685.0199424142397
2069,1364.1839044581454,4441.973619997264,5629.145793234891,3551.7219311574945,1657.623416932665
2070,1364.9102584270524,4404.334684732281,5728.668236021474,3541.114246873232,1630.1456019637399
2071,1365.6278794242735,4366.55190156838,5828.406630962093,3530.455952682341,1602.6059524977654
2072,1366.3382178392194,4328.647180366763,5928.32146428005,3519.757439446651,1575.0230681994447
2073,1367.0408852458543,4290.639974128192,6028.357314202982,3509.025352306531,1547.4155880016046
2074,1367.7350274735913,4252.54895165379,6128.454750926929,3498.2654512533336,1519.8024727514014
2075,1368.4192533358664,4214.3918442701015,6228.549859258784,3487.4824480695506,1492.2029665465088
2076,1369.0902662957983,4176.1836538915495,6328.562644579189,3476.6771279419268,1464.636268975435
2077,1369.7390604052,4137.931800334405,6428.364526774397,3465.838376093323,1437.1206721421477
2078,1370.354924027352,4099.641016150018,6527.813014782736,3454.95151884704,1409.6743766019367
2079,1370.9267307594464,4061.3148323212563,6626.76309079847,3444.0009900694395,1382.315711051424
2080,1371.4429190523356,4022.9554102343664,6725.0673509176095,3432.970252700764,1355.0630592478012
2081,1371.8964131157093,3984.5695373488174,6822.618674898571,3421.8520434498837,1327.9358454962376
2082,1372.2994287717531,3946.186965529451,6919.477944769705,3410.6792726788735,1300.9576466961753
2083,1372.668588996141,3907.8416274409356,7015.746432983166,3399.4938686554315,1274.152880247382
2084,1373.019921056972,3869.5651995276094,7111.523194268924,3388.3362715251455,1247.545619797198
2085,1373.368797142197,3831.3868386949666,7206.904990953833,3377.2452564222845,1221.159471826873
2086,1373.7259249379797,3793.327979400836,7301.95225462742,3366.249499117231,1195.0165924144796
2087,1374.0853550864333,3755.387154646969,7396.586387371789,3355.342456148648,1169.1349742041352
2088,1374.4361114135909,3717.5543452636757,7490.690237258316,3344.506614795128,1143.530832949437
2089,1374.7660460694167,3679.8156202868095,7584.14168736354,3333.7214939303303,1118.219311967355
2090,1375.0617672365177,3642.152883081972,7676.813439598253,3322.9634384359697,1093.2143378434987
2091,1375.3100278241868,3604.5454631777125,7768.585327288121,3312.208469915141,1068.5287936091609
2092,1375.5021153479133,3566.975484620896,7859.382391197817,3301.4414139752844,1044.1753444261913
2093,1375.6295596183336,3529.422416356993,7949.13821477181,3290.64688809953,1020.1653944698223
