time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,57.07753464537798,181.35491742477706,85.08402010346188,189.68229234298713,38.188777121208105
2018,55.43006839893751,176.15685295369227,82.6254789508689,184.1866834098818,37.0762056584415
2019,53.799792037002284,171.01907130749754,80.19214246811212,178.74499048387864,35.97353634953391
2020,52.179364483760445,165.91922320155675,77.77299517499299,173.3322644236957,34.875582048301254
2021,50.577821511424986,160.88717991452035,75.38142037616538,167.97787503738024,33.78806042124102
2022,49.05406343799269,156.1117666991306,73.1051154651931,162.87667205672105,32.749924637655596
2023,47.62683407367516,151.65451462295627,70.97186518023103,158.08979716444088,31.773149067638244
2024,46.30002228130557,147.5301650138818,68.98728399418395,153.62880523584846,30.859657109757592
2025,45.077155678352845,143.75286539752432,67.15641370538515,149.5037571368391,30.01098032539558
2026,43.95592871046703,140.3171827945285,65.4747944536629,145.7032981813846,29.22424105760291
2027,42.91569330364443,137.15992210806832,63.910651642779456,142.15502047640305,28.484203167623814
2028,41.95252028480857,134.27591318865004,62.45890806129178,138.84564573244933,27.787372414825548
2029,41.069191090010044,131.67976216509348,61.1231552086685,135.78077090108562,27.133866023805503
2030,40.26834341342291,129.38691463668312,59.9066878810278,132.9648211984579,26.523351523825923
2031,39.54730420065325,127.40646140240675,58.809045494197704,130.3932778433128,25.9534561278956
2032,38.89958263785898,125.7238480651012,57.8179657035144,128.0347882671056,25.416185267912965
2033,38.325745949256536,124.3448636986657,56.929627708340895,125.87600420622442,24.906827781719052
2034,37.82724619894055,123.28478182980163,56.14342102978887,123.90981849799819,24.42154532405115
2035,37.40192426247589,122.5617055808565,55.45871891758504,122.12809470770274,23.955876293853294
2036,37.044170485727825,122.1709521388198,54.86325349618251,120.49604153567213,23.49969825681358
2037,36.72157480872701,122.03209321343839,54.31746722967988,118.90192371396228,23.02763539096499
2038,36.4296962743596,122.14268055986575,53.794662199864256,117.31069732117446,22.52924428536993
2039,36.16672411922164,122.52724683323432,53.301570605003484,115.71247038553989,21.998825399458063
2040,35.934686844971395,123.21059403808434,52.83772371565129,114.09722801070328,21.430612239995703
2041,35.717854857658,124.13854605735942,52.370660521573,112.38492646178867,20.806051047419267
2042,35.41897331662599,125.01271789871738,51.768084604230204,110.2911314540271,20.070760695685138
2043,35.01474956299932,125.75226429351032,51.001211961376754,107.75496409770962,19.215334087245974
2044,34.51059446046405,126.32929826226889,50.07145029383124,104.79284970054947,18.247181188884447
2045,33.90598580101498,126.7061961738492,48.98919870450379,101.42796100748716,17.177656893811843
