time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,562.3279683584406,3940.690679228998,710.010421129213,1603.6334776233502,2352.7285511443697
2018,572.5492077575099,4024.413793877478,723.7159235996571,1628.2439242866994,2366.4401245218914
2019,582.7357467240364,4107.045483928203,738.2626375814439,1652.477057691065,2379.392608208344
2020,592.7352286315557,4187.256418657961,753.7956960652524,1676.3192798859068,2391.524250422187
2021,602.3515063811891,4264.704901733559,770.5758313706137,1699.7465823962684,2402.7588992917417
2022,611.7485789430261,4338.87791278277,788.7812270911343,1722.7200980683738,2413.0032350459805
2023,620.9140073927825,4410.439925937919,808.4478318430781,1745.1940361233835,2422.15406439774
2024,629.848912410836,4477.855906388466,829.6961229241393,1767.1191339320876,2430.102637057179
2025,638.3198861197639,4541.551450208846,853.4179815028813,1788.4444802833846,2436.7383885161926
2026,646.620051051815,4600.9102806913625,879.5620053373161,1809.1183467265935,2441.952707989497
2027,654.4213947649143,4655.352691725699,907.8881943938446,1829.0870022064641,2445.64212156996
2028,661.6426830515678,4704.322673440768,938.7502268727528,1848.3026436195046,2447.7178705130077
2029,668.1154482449872,4747.799686766996,971.7537502528796,1866.7274488242597,2448.112293547368
2030,674.4724575265294,4785.748268406291,1007.5371624636591,1884.335551752472,2446.7830280310714
2031,680.4207209781246,4817.680693257491,1047.2606218975088,1901.111933182457,2443.714324092308
2032,685.9484435829187,4844.09843012923,1089.7882017875695,1917.0461033653621,2438.914643590567
2033,691.4515931568919,4864.872947626755,1134.9251164676398,1932.1385950760762,2432.419430652174
2034,695.2763949633953,4880.335198278862,1181.824362233071,1946.4015307268432,2424.28862617822
2035,699.3044499314423,4890.7329373522025,1231.4338943922403,1959.8562194609922,2414.6015414752983
2036,702.5580374287663,4896.282444411554,1282.8183187526397,1972.53268211033,2403.451857940544
2037,705.8851570049695,4897.748161839832,1336.4310449453064,1984.473254614109,2390.9436178385968
2038,708.5258825918229,4895.292609883841,1391.3698832664868,1995.7229965481906,2377.1831312224485
2039,710.7865078198548,4889.41023110274,1446.9858632709045,2006.325639881772,2362.274261371997
2040,712.8501253952978,4880.427316444779,1504.3627687942064,2016.322313481823,2346.315584711016
2041,715.3224405653733,4868.6750555053095,1561.0745147900195,2025.7501320898768,2329.398395341432
2042,716.9036669727358,4854.266419397389,1619.3544144938307,2034.6402076107804,2311.605407277021
2043,718.5456883116449,4837.762600516965,1678.5720641523176,2043.0195783711051,2293.01092092251
2044,719.4890824640293,4819.529073696028,1737.1462409737005,2050.9118616020473,2273.681048633333
2045,720.3005194447038,4799.473216826584,1796.9744253083174,2058.337429312121,2253.6741448656076
2046,721.068200136596,4777.753104118054,1856.6908319135787,2065.321268711942,2233.042671738861
2047,721.3752467255747,4754.639898332187,1916.2388276842394,2071.915823588291,2211.837185672081
2048,721.184835181797,4730.312051425266,1975.9804966276613,2078.1783235036264,2190.1030729186755
2049,721.0617667225512,4704.901760659513,2036.591273356378,2084.163702264974,2167.880356756088
2050,720.4202447060494,4678.524606547425,2096.446531101299,2089.9250779286385,2145.2046576109124
2051,720.1366263299923,4651.306084084465,2156.334611162851,2095.510986058476,2122.107592543536
2052,719.6083072820543,4623.3327624714675,2217.81389099644,2100.956262815603,2098.616270153911
2053,719.0477912910821,4594.685097740755,2278.145937744559,2106.291895134167,2074.755225163459
2054,719.0109402777248,4565.242498203568,2340.6412746661204,2111.548394336252,2050.5472961133264
2055,718.6558999170551,4535.077807310824,2403.3647533974117,2116.755955355555,2026.01399747813
2056,717.9523735021875,4504.774400849738,2466.0260169674098,2121.940600072809,2001.175338270257
2057,717.4517021004185,4473.642444925457,2529.437274833376,2127.1122415617597,1976.0486209346504
2058,716.9024864399405,4442.052263509165,2593.2214626496298,2132.2765732063117,1950.6501571846798
2059,716.6887202063334,4410.171183469776,2657.1491824495315,2137.4390803881106,1924.9959262527145
2060,716.5944445972989,4377.819722956393,2720.5410472673166,2142.6050658117088,1899.1017114776046
2061,716.4525690926886,4345.605440789516,2786.1236780285576,2147.7760916391217,1872.9827869332535
2062,715.6580168842024,4312.746131043729,2851.09613840713,2152.939371764259,1846.6527493568012
2063,715.5800154600049,4279.629496161793,2915.2979831516022,2158.0786272843693,1820.1249184522526
2064,714.8422994298662,4246.647969676268,2982.1173093049315,2163.1776878648334,1793.4128362986105
2065,713.7239994455524,4213.536147024836,3048.90005993866,2168.2204944434557,1766.530323252879
2066,712.8755201604855,4180.157652849143,3114.305575469585,2173.1962273776876,1739.492135351187
2067,712.0605981397224,4146.533302869375,3180.20934686436,2178.114686734679,1712.3158280190535
2068,711.383410559331,4112.69246263947,3246.4544042414263,2182.9908198117932,1685.0199424142397
2069,710.1762700519766,4077.9936689877163,3311.8232613139367,2187.8395432937427,1657.623416932665
2070,709.566100479712,4043.035083542465,3378.0749747166415,2192.6757031483785,1630.1456019637399
2071,708.2032275138262,4007.9568232236015,3442.609276711042,2197.511387092718,1602.6059524977654
2072,707.176129953005,3972.8835907633124,3507.6058362353133,2202.347790699004,1575.0230681994447
2073,706.1146199843311,3938.0752663401327,3572.593856021215,2207.182814467001,1547.4155880016046
2074,704.784391679888,3903.0861110169694,3638.916923140358,2212.0135801432752,1519.8024727514014
2075,703.4612893028233,3867.857396975262,3705.860044794073,2216.8363084261614,1492.2029665465088
2076,702.3593188473014,3832.3179023486923,3771.241974919641,2221.643826889744,1464.636268975435
2077,701.3437279125907,3797.003456076913,3835.284740607474,2226.4186258522677,1437.1206721421477
2078,700.4581009732077,3761.355688493716,3901.6795297924023,2231.140192090754,1409.6743766019367
2079,699.0685077463444,3726.0528497200203,3967.0115373248136,2235.787384081241,1382.315711051424
2080,697.3893427284316,3690.8175652073687,4031.95581592786,2240.338410925255,1355.0630592478012
2081,696.1087709191556,3655.113785784237,4093.914983299326,2244.7798476961116,1327.9358454962376
2082,694.9775698205368,3620.027724064134,4158.274604689001,2249.133726862614,1300.9576466961753
2083,693.6081347026864,3584.3837920232386,4221.56957843461,2253.430341025462,1274.152880247382
2084,692.1743250287483,3548.774973008389,4286.075952209228,2257.699114500627,1247.545619797198
2085,690.7246974649572,3513.2891385524586,4350.3212979178315,2261.968514364352,1221.159471826873
2086,688.7911545152703,3477.8857743801095,4414.342956971473,2266.2587384778785,1195.0165924144796
2087,686.9749128206778,3442.5924365176243,4478.090502488409,2270.559805315305,1169.1349742041352
2088,685.4091260594085,3407.6597145244364,4541.231007339191,2274.852838039566,1143.530832949437
2089,684.3507651558489,3372.556107043159,4603.0044258486705,2279.1171298944496,1118.219311967355
2090,682.2982922946643,3337.552004074878,4664.317869620886,2283.33002579963,1093.2143378434987
2091,680.8262822371387,3303.2396236296627,4724.078397250633,2287.4694724428846,1068.5287936091609
2092,678.705799658167,3268.980444979309,4784.496038436711,2291.5220524796196,1044.1753444261913
2093,676.784197052491,3234.0922895948747,4844.504465958628,2295.4751383205326,1020.1653944698223
2094,674.7864861362654,3199.887587294364,4903.251860020728,2299.314189854799,996.5086616154368
2095,672.5552223691825,3165.609701390113,4961.345176695602,2303.022698204773,973.2130777483444
2096,671.355247668925,3130.737584418168,5018.7485210727145,2306.582145716816,950.284707053718
2097,669.605978589444,3095.7706783134045,5075.395370937341,2309.9719862445686,927.7276858406658
2098,667.7748890991534,3060.8013050905256,5131.433994646551,2313.1696499932814,905.54418744889
2099,666.0784754128618,3025.5300750023716,5186.677269599952,2316.1505773063245,883.7344156919007
2100,663.31698156058,2990.3692883183476,5239.81790185712,2318.888285764964,862.2966300939286
