time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,5.1508743143414035,21.343642877911154,7.874659750702629,15.535422048984666,11.906179799363272
2018,5.327936612665283,22.07733471971063,8.145352698906773,16.069455179198332,12.315457027049263
2019,5.507345812703527,22.82075140218883,8.419633591863775,16.610566740453816,12.73015908789429
2020,5.688955009891019,23.573284197905735,8.697277841786075,17.15831365759632,13.149946413866044
2021,5.8726089274312505,24.3342896875177,8.978048061413688,17.712227604175208,13.574460084503318
2022,6.058144011979677,25.10309015642634,9.261694210297176,18.27181529097139,14.003322047705282
2023,6.245388639081779,25.87897444646612,9.547953908883727,18.83655908546183,14.436135593637996
2024,6.434163418851026,26.661199223376148,9.83655290587903,19.405917933460056,14.872486059336167
2025,6.624281594770142,27.448990630784742,10.127205688039885,19.97932856138709,15.311941746999786
2026,6.81554952899122,28.241546303504997,10.419616222329784,20.55620693909946,15.75405504000285
2027,7.007767267163844,29.038037711537868,10.71347881987053,21.135949982141828,16.198363699701524
2028,7.200729175050551,29.837612803008035,11.00847910998767,21.71793746996161,16.644392324233326
2029,7.394224638211249,30.63939891022282,11.30429511120274,22.301534153663432,17.091653948111187
2030,7.588038814970733,31.44250587862538,11.600598384456777,22.886092023659533,17.539651758827294
2031,7.781953431818255,32.24602937399472,11.897055252295315,23.470952704354755,17.987880904096457
2032,7.975747609389876,33.04905431909102,12.193328066306933,24.05544993999582,18.43583036093707
2033,8.16919870631102,33.85065840730541,12.489076503875657,24.63891213318481,18.882984835647495
2034,8.362083167481966,34.649915637947736,12.783958874361161,25.22066489546814,19.3288266620066
2035,8.554177362914153,35.445899815793624,13.077633414228158,25.800033567993616,19.772837663807152
2036,8.745258403013844,36.23768795657411,13.36975955046741,26.376345669600887,20.214500947220593
2037,8.935104916292286,37.02436354035464,13.659999111941005,26.948933229983126,20.653302588561736
2038,9.12349777588734,37.80501955635257,13.94801746907624,27.51713496679897,21.08873318383913
2039,9.310220762027177,38.57876128573358,14.233484583661475,28.08029826788794,21.52028922807895
2040,9.495061148662204,39.34470877336241,14.516075952369578,28.637780943076237,21.947474294827593
2041,9.677810203936687,40.10199894535885,14.795473430053468,29.18895271444464,22.3697999894583
2042,9.858263595956332,40.84978733658572,15.07136592180456,29.73319641935034,22.786786653916323
2043,10.036221697407175,41.587249400760776,15.343449936199663,30.26990890685505,23.19796380527938
2044,10.21148978496666,42.31358138563974,15.61142999604191,30.79850161544698,23.602870295906783
2045,10.383878132072697,43.028000766448955,15.875018907151478,31.318400827896916,24.001054188914043
2046,10.553201996429257,43.72974624225882,16.133937890305756,31.829047607611976,24.39207234910446
2047,10.71928150656908,44.41807731202602,16.387916586170995,32.329897429767136,24.775489756189963
2048,10.881941454795337,45.092273459317546,16.636692947905455,32.82041952958682,25.15087855397787
2049,11.041011006817326,45.7516329869663,16.880013040938156,33.30009599922403,25.517816856034784
2050,11.196323341307842,46.39547155481903,17.117630774132284,33.76842067351241,25.875887334993337
2051,11.347715235370911,47.023120484999836,17.349307591010742,34.22489785324545,26.224675628990955
2052,11.495026614453957,47.633924909491704,17.57481215386254,34.6690409223618,26.56376860456475
2053,11.638100087508993,48.227241844054674,17.793920057266416,35.100370922318795,26.8927525205491
2054,11.77678049015349,48.80243828037844,18.006413610786527,35.51841515286195,27.211211142018268
2055,11.910914460164015,49.358889394717465,18.212081733253278,35.92270587323007,27.51872385700255
2056,12.040350070830986,49.895976975996625,18.410720003106206,36.31277918150788,27.81486385153009
2057,12.164936548491362,50.41308817941982,18.602130910703057,36.68817415228242,28.099196400481176
2058,12.284524100941642,50.909614712960305,18.786124359309774,37.048432314004515,28.37127733279083
2059,12.398963883417753,51.384952563796205,18.96251846166025,37.39309754748569,28.630651729727223
2060,12.508108128429779,51.83850236981284,19.13114067855289,37.721716485857144,28.87685291435622
2061,12.611810464976806,52.26967053783438,19.29182934494766,38.03383949411461,29.10940178893311
2062,12.709926451558978,52.67787120532174,19.444435627469037,38.329022303146104,29.327806574910518
2063,12.802314345969876,53.0625291359748,19.58882595512563,38.606828368938416,29.531563007567073
2064,12.88883613309899,53.42308363201601,19.724884962438747,38.86683202251115,29.720155034000832
2065,12.969358829903129,53.75899353692371,19.852518981004526,39.10862247003691,29.893056059402593
2066,13.043756084299638,54.06974339194861,19.971660111777442,39.33180869552296,30.049730782137
2067,13.111910081964073,54.354850797753116,20.08227090598878,39.53602531026813,30.18963765316043
2068,13.173713771832618,54.61387501877551,20.184349677508997,39.72093938392873,30.312231989627623
2069,13.229073417452444,54.84642685216336,20.27793646352876,39.88625828123051,30.416969766079333
2070,13.277911477115591,55.05217976503251,20.363119643510704,40.03173851594413,30.503312099216437
2071,13.320169810868153,55.23088228303934,20.440043218322348,40.15719561941932,30.570730433815264
2072,13.35581320691694,55.38237158942438,20.50891474210817,40.26251500449467,30.618712427648106
2073,13.384833213574078,55.50658826644867,20.570013888658753,40.34766378670019,30.64676852220346
2074,13.407252255605831,55.60359208016854,20.623701621610792,40.412703503108126,30.654439173410687
2075,13.423128005626472,55.67357867454959,20.670429923637755,40.45780364477857,30.641302702379733
2076,13.432557971962018,55.716897001850946,20.71075202377381,40.48325589138215,30.60698371032367
2077,13.43568425419787,55.73406727302577,20.74533304408198,40.489488906232445,30.551161984374275
2078,13.432698406450116,55.725799164736095,20.774960967041153,40.477083516718835,30.473581802034595
2079,13.4238463363363,55.69300996880543,20.80055780333043,40.44678806921422,30.374061521734966
2080,13.409433154791634,55.6368423160987,20.823190816273527,40.399533709290324,30.2525033256574
2081,13.389827878448822,55.55868105066799,20.844083634250634,40.336449298008176,30.10890295905075
2082,13.365467872498007,55.460168772540285,20.86462705618022,40.25887563380728,29.943359288141387
2083,13.336862908039341,55.34321950996144,20.88638932805781,40.168378607888535,29.756083477005426
2084,13.304598694260317,55.21002992570093,20.911125640955564,40.06676087992317,29.547407563034845
2085,13.2693397326862,55.06308740884954,20.940786573336695,39.95607162149626,29.31779219157935
2086,13.23183132869514,54.905174355325286,20.977525173636387,39.83861383816783,29.06783325372663
2087,13.192900584931596,54.73936789919436,21.02370235348267,39.71694874875119,28.79826715775163
2088,13.153456192728909,54.569034325329646,21.08189023846911,39.593896673925386,28.509974455335986
2089,13.114486831744477,54.39781737451174,21.154873102944023,39.47253386726981,28.203981539035308
2090,13.07705798536259,54.22961964777273,21.24564549884446,39.35618471208117,27.881460128492105
2091,13.042306980735013,54.068576330785916,21.3574071773392,39.248408708917566,27.54372427038286
2092,13.011436068370655,53.91902049491651,21.493554397219487,39.15298169388996,27.19222459189035
2093,12.985703367786964,53.78543929295021,21.657667217049802,39.07387075866781,26.82853957043967
2094,12.966411523783819,53.67242045853836,21.85349238066021,39.01520239251519,26.454363614359817
2095,12.95489394334271,53.58458864330272,22.084921429402392,38.98122343714737,26.07149179084616
2096,12.952498516965225,53.526531288688126,22.35596371162733,38.976254539587906,25.681801089885486
2097,12.96056877143433,53.50271393539253,22.67071401211979,39.0046359093798,25.28722817638843
2098,12.980422454456594,53.517385125636714,23.03331459385426,39.07066533721643,24.889743658278743
