time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,2.0491991606031976,1.0474074442854762,3.1024884143809186,7.067953536385823,0.0
2018,2.1196396955508994,1.0834117252389968,3.2091354146810396,7.310912072332508,0.0
2019,2.1910131697015562,1.1198928790289298,3.3171948843511236,7.557088434541992,0.0
2020,2.2632614797495116,1.1568212897450956,3.4265788507884163,7.806282208793569,0.0
2021,2.336324106159372,1.1941662139196285,3.537195677771203,8.058284636025908,0.0
2022,2.410138481595145,1.2318960047617178,3.648950621428753,8.312879879406392,0.0
2023,2.484640359380357,1.2699783319047708,3.7617463864790066,8.569846291947263,0.0
2024,2.5597641905365336,1.3083804023766747,3.875483695606046,8.828957714010762,0.0
2025,2.6354435133741725,1.3470691855896235,3.990061877954579,9.089984814330226,0.0
2026,2.7116113574067184,1.3860116437745869,4.10537947939429,9.352696480597412,0.0
2027,2.7882006618523634,1.4251749683820345,4.221334894933603,9.616861260485342,0.0
2028,2.865144707824885,1.4645268222967716,4.3378270219046815,9.882248849970095,0.0
2029,2.942377562272481,1.504035587125165,4.454755930965441,10.148631622223943,0.0
2030,3.0198345307655607,1.543670614281136,4.5720235505160245,10.41578618705143,0.0
2031,3.097452615478325,1.583402478191785,4.689534358982408,10.683494968232084,0.0
2032,3.175170974084661,1.6232032296203855,4.80719607847417,10.95154778397826,0.0
2033,3.2529313747359483,1.6630466468226408,4.924920362485194,11.219743413806992,0.0
2034,3.3306786417907017,1.7029084820000844,5.042623469551624,11.487891133405226,0.0
2035,3.4083610865469343,1.7427667003054426,5.160226914145128,11.755812197618345,0.0
2036,3.4859309169585284,1.782601708531026,5.277658085669066,12.023341250756141,0.0
2037,3.5633446201860077,1.822396570567083,5.394850826224677,12.290327642953535,0.0
2038,3.6405633118084086,1.8621372067301458,5.51174595777386,12.556636631230324,0.0
2039,3.7175530455403876,1.9018125740827005,5.628291749350385,12.822150443952074,0.0
2040,3.7942850774086683,1.9414148249297192,5.744444315134247,13.086769187763704,0.0
2041,3.870736078732976,1.9809394409036902,5.86016793479306,13.350411577410272,0.0
2042,3.9468882928405606,2.020385340384237,5.975435288373981,13.613015470862244,0.0
2043,4.022729631078088,2.059754957337994,6.090227598987767,13.874538194345764,0.0
2044,4.098253704166992,2.0990542898427895,6.204534677261695,14.13495664355164,0.0
2045,4.173459785407889,2.1382929166509466,6.318354862243817,14.394267148904746,0.0
2046,4.248352703182758,2.17748398052139,6.431694854879371,14.652485096052049,0.0
2047,4.322942661380062,2.216644137550585,6.544569441970349,14.909644296805675,0.0
2048,4.3972449876716295,2.2557934723011206,6.657001110513065,15.165796110298697,0.0
2049,4.471279811324146,2.294955379515328,6.769019554958388,15.421008320146836,0.0
2050,4.545071674156403,2.3341564144409186,6.880661082835412,15.675363780010969,0.0
2051,4.61864907937794,2.3734261144002695,6.99196792588021,15.92895884382767,0.0
2052,4.6920439837669425,2.4127967944981195,7.102987464911503,16.181901599482835,0.0
2053,4.765291239260617,2.452303320536292,7.2137713776392225,16.434309926854958,0.0
2054,4.838427990346408,2.4919828620577125,7.32437471909534,16.68630940229921,0.0
2055,4.911493033754301,2.531874628074024,7.434854944584671,16.938031072121014,0.0
2056,4.984526147316982,2.572019588017814,7.545270885625757,17.189609118890985,0.0
2057,5.057567395269636,2.6124601806152556,7.655681689969982,17.44117844586023,0.0
2058,5.13065641751508,2.653240013491146,7.76614573717068,17.6928722056135,0.0
2059,5.203831710510191,2.694403556414098,7.876719541368784,17.944819299536793,0.0
