time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,8.514371153462129,23.185010249968727,13.736323341152106,29.687517606577924,11.907143494856086
2018,8.807053702891263,23.981997826910582,14.208511131761712,30.708029649140133,12.31645298559814
2019,9.103615894699072,24.78955020714955,14.686957897509414,31.742068927776018,12.731187503207298
2020,9.403817901925137,25.607015880781656,15.17127633195545,32.78879870467303,13.151009281117343
2021,9.707410290604242,26.433719218342272,15.661063115014093,33.84734805850091,13.575563997638607
2022,10.014135654980091,27.268965636512256,16.1559013721321,34.9168173444266,14.004481983856564
2023,10.323730276749396,28.112046760651168,16.65536319011429,35.99628375973158,14.437379577665844
2024,10.635925841833583,28.96224569977866,17.15901223755233,37.08480712346531,14.873860634398088
2025,10.950451229036176,29.818842486924257,17.66640650963948,38.18143591532889,15.313518194343828
2026,11.267034375860474,30.681119708717674,18.177101203616058,39.285213588690226,15.755936301774414
2027,11.585404220715349,31.54836832944031,18.69065172192058,40.39518515221171,16.200691965394363
2028,11.905292715996248,32.41989370066005,19.206616792811534,41.51040399836125,16.647357245843324
2029,12.226436902011555,33.29502173438014,19.724561691201306,42.6299389415345,17.095501451449874
2030,12.548581027407975,34.17310520518576,20.244061535700993,43.752881413610076,17.544693419045533
2031,12.871478698611089,35.05353013825289,20.764704632879567,44.878352753728116,17.99450385303044
2032,13.194895038357132,35.935722233760366,21.28609583578674,46.00551152034163,18.444507692789827
2033,13.51860883142851,36.8191532734045,21.807859880559278,47.13356074642294,18.894286475926688
2034,13.84241463473568,37.70334745312922,22.329644663188123,48.2617550547793,19.343430662969368
2035,14.166124828672082,38.58788758704414,22.851124417920015,49.389407548960634,19.79154188813372
2036,14.489571585938021,39.472421126530826,23.372002757440843,50.515896392103315,20.238235099603376
2037,14.812608733357486,40.35666593752869,23.892015533811175,51.64067098319917,20.683140552080598
2038,15.135113481963609,41.24041577903756,24.41093347864724,52.763257638929346,21.125905614326555
2039,15.456988000296088,42.12354542498514,24.928564580571216,53.8832646878935,21.56619635483144
2040,15.778160805735965,43.00601537057295,25.444756157958494,55.000386883857566,22.003698869884204
2041,16.098587950169538,43.88787606780317,25.95939658747524,56.11440904989526,22.438120320957747
2042,16.418253978722614,44.769271640962415,26.47241665296433,57.22520887412994,22.869189652138147
2043,16.7371726430529,45.65044303891027,26.983790483911953,58.3327587880614,23.29665796289514
2044,17.055387353332204,46.53172399630989,27.493536057497327,59.43712686914533,23.720298516622698
2045,17.37297135576819,47.41355257452824,28.00171524333256,60.53847672091675,24.13990637113212
2046,17.690027626106385,48.29648035382649,28.508433376506183,61.63706629873824,24.55529762394962
2047,18.006688473617075,49.18115426959951,29.013838351818976,62.73324566578046,24.96630827246144
2048,18.32311485462951,50.06832416663292,29.518119240056652,63.82745368178309,25.37279269644997
2049,18.63949540104199,50.95884194102203,30.02150443732462,64.92021364941377,25.77462177852631
2050,18.956045176488956,51.85366000406062,30.52425936952058,66.01212796668852,26.171680685749884
2051,19.273004177284015,52.75382910598582,31.02668378118037,67.10387184936079,26.56386634198477
2052,19.590635598199864,53.66049556387825,31.52910864298349,68.19618619819103,26.95108462581682
2053,19.90922388558318,54.574897943045684,32.03189271644689,69.2898696952517,27.33324733347249
2054,20.22907260125101,55.4983632399165,32.53541881657748,70.38577021863244,27.710268949871203
2055,20.550502120510284,56.43230260887308,33.040089814033905,71.48477566716882,28.08206327380912
2056,20.87384718887956,57.37820667784567,33.54632442053973,72.58780429158554,28.448539945769586
2057,21.199502217007524,58.337640503103934,34.05455280360691,73.6957946331806,28.80960092868774
2058,21.52817366257639,59.31223821749609,34.5652120779447,74.80969517375789,29.1651369929736
2059,21.859874360606494,60.30369742741088,35.07874172111706,75.93045380076843,29.51502425728878
2060,22.19497371321917,61.31377341281005,35.5955789603674,77.05900719016645,29.859120836099805
2061,22.533571808219552,62.34427318407249,36.116154176644685,78.19627020746664,30.197263644056804
2062,22.87552978560473,63.39858925176605,36.64088637067308,79.34312542482843,30.52926540584061
2063,23.221898627157717,64.47900469817695,37.17017873400587,80.50041284800058,30.854911918317267
2064,23.57303214938493,65.58588057360187,37.704414364304064,81.6689199396934,31.17395960959164
2065,23.930205330053273,66.71873970429107,38.2439521594874,82.84937201710302,31.486133437027057
2066,24.293186270826723,67.88008219409421,38.789122923073556,84.04242309665418,31.791125163824724
2067,24.66204375188231,69.07340587210874,39.340225711666214,85.24864725617753,32.08859205119827
2068,25.035437295138404,70.30074897676164,39.89752445436276,86.46853058222366,32.37815600038588
2069,25.415114063190273,71.56411557695175,40.46124487380747,87.70246376977363,32.65940317576966
