time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,0.056105778119497844,0.4463947147917063,0.07836389421843465,0.1367866648417272,0.11152249496566885
2018,0.0934297047036303,0.7372425799464454,0.1392139100009638,0.22667305995536569,0.18409470988322202
2019,0.07821331712039739,0.6113845906387524,0.12525834780450026,0.18874634707780294,0.15257620248421028
2020,0.0,0.0,0.0,0.0,0.0
2021,0.10796555287620152,0.8237743051634694,0.20443647008394356,0.2571050638865716,0.20525165913367757
2022,0.0423141467615748,0.31817517332188405,0.08793919254473716,0.10001975152510231,0.07919195768483002
2023,0.044487869324355014,0.3283060293419536,0.10214766450196126,0.10409733984828293,0.08160798192280451
2024,0.06925935928611117,0.500740253930068,0.17639194966703514,0.16040794887594548,0.12427024649946226
2025,0.04744735855458618,0.33444300416634676,0.13442935496320357,0.1084638879979279,0.08284808333023418
2026,0.14567592777870456,0.9986164873130259,0.460064025930007,0.3286304915025429,0.24683845775067065
2027,0.14225920413387472,0.946263206011652,0.5015984221085884,0.31675793354438625,0.23325222462883646
2028,0.13905513196601052,0.8908129419140863,0.5463763984116285,0.3042536311768272,0.21889853258128833
2029,0.13561195846747384,0.8332156450077132,0.5940560944667873,0.2913149587018168,0.20399902946108525
2030,0.1319319941365262,0.7745425806150652,0.6424232644503121,0.2781774968486279,0.1888184685778587
2031,0.059264641458990734,0.3318874973783073,0.3198731043320664,0.12287525657133504,0.08048631324527918
2032,0.05766192585554931,0.30662675753559343,0.34283756820364586,0.11744769272981749,0.07389922152387599
2033,0.05618916899275247,0.282329485453428,0.3655273837031622,0.1122888841670354,0.06755533381558249
2034,0.0548487664961023,0.25941032903450256,0.3873961467563784,0.10749264359281781,0.06155786027132113
2035,0.05361072420586111,0.23812768123599412,0.40924950834364265,0.10313316271091434,0.05598772038315405
2036,0.0519038094216401,0.2161646970459658,0.4258092193722497,0.09810394370279979,0.050306597528360544
2037,0.05084450370140929,0.19900164385315608,0.4453691347125332,0.09481969083973778,0.04580056492123507
2038,0.05015502268643384,0.18390835098710354,0.4648662035086527,0.09205633063884196,0.041808051601920776
2039,0.04958471169201783,0.17075729940071913,0.48343133518021775,0.08980809649832075,0.03831936117512534
2040,0.049295173947161076,0.15951107904489628,0.5019407627146257,0.08805702482303049,0.03531105825742515
2041,0.043634552981708395,0.13345877207880136,0.46172256795432903,0.07721497956862189,0.02914168988029584
2042,0.04370034092436871,0.12679005511360386,0.4786578266209281,0.07668673425214416,0.027305891327183834
2043,0.043829120283228745,0.12146070832518267,0.49472630741861706,0.07652061908464769,0.025790582903999718
2044,0.04411710357168861,0.1172554942269973,0.5112235084673191,0.07668931925531833,0.024562375384360537
2045,0.04458847704391861,0.11408827233507243,0.5279253431927864,0.07716640307798985,0.02358917571263459
2046,0.042765634744528144,0.10569862229901072,0.5152658970119977,0.07369388650157549,0.02160030125222769
2047,0.043513132819642766,0.10445709469444227,0.5325326889046847,0.07479636271138719,0.021118518415146323
2048,0.044405783047683334,0.10387996208233015,0.5504736263131147,0.07612845238509232,0.02079900984496659
2049,0.045400536728524545,0.10389991862949546,0.568892615019115,0.07767320394581653,0.020622089118932582
2050,0.04642893704288654,0.10441076716153723,0.5878964971450177,0.0794152640298857,0.020570440484776076
2051,0.046592185401581554,0.10298411903544775,0.5936150920147921,0.07949068761503257,0.020159742980868565
2052,0.04791020491453651,0.10441764074490181,0.6137429454298783,0.08159517511793685,0.020325610508755143
2053,0.049318369141942424,0.10619912311514239,0.6344913675126511,0.08385641488053348,0.020574940196789997
2054,0.05080489143682627,0.10830486963514505,0.6558099241925702,0.08626322552690328,0.020897937156272823
2055,0.052312076218627046,0.11068669609931402,0.6777694749640194,0.08880470408695919,0.021285951421925083
2056,0.05390603770568035,0.11336483680458898,0.7005872812404983,0.0914996019934288,0.021738308457364422
2057,0.055581862197218196,0.11622813390397879,0.7237811471743072,0.09427756194431511,0.0222339099702547
2058,0.05733129687237958,0.11928251692891924,0.747489544581576,0.09715711275071662,0.022773568823836837
