time,Sum_steel_outflow,Sum_conc_outflow,Sum_engwood_outflow,Sum_dimlum_outflow,Sum_masonry_outflow
2017,0.0008522984687718987,0.005175770808851661,0.0008292050342057588,0.0018115139597592678,0.0023912759735324842
2018,0.0010299767267592638,0.006254761358471246,0.0010020690129382592,0.002189159425427174,0.0028897841167921266
2019,0.0012336139864331228,0.0074913952319404144,0.0012001885739598196,0.0026219795554734133,0.003461124229492443
2020,0.0014655387473302471,0.008899820125999474,0.0014258288985932396,0.003114924496818506,0.004111826201506674
2021,0.0017281655722550006,0.010494717741275535,0.0016813385536932053,0.003673128931512457,0.004848656551443342
2022,0.0020239918349675146,0.01229128685523859,0.001969146244789563,0.0043019055607449235,0.005678608094991896
2023,0.0023555949610446765,0.014305231038157513,0.0022917580100965634,0.005006739857231944,0.0066088902775679696
2024,0.0027256322828657534,0.016552768166610093,0.0026517567944509567,0.0057932911936378105,0.007646924293907204
2025,0.003136836669500281,0.019050607191227104,0.0030517981148238714,0.006667384001528897,0.008800329391373346
2026,0.0035920108586174433,0.021815915730167786,0.0034946045087276135,0.007634995980556432,0.010076906071278645
2027,0.004094022356571771,0.024866293568404984,0.003982960483982925,0.008702247835365898,0.01148461980212394
2028,0.00464579802885315,0.028219826849226467,0.004519707162673748,0.00987539245574636,0.013031583438187918
2029,0.0052503102557848215,0.03189500475369558,0.005107736632268127,0.011160803568932258,0.014726038280295927
2030,0.00591050740276867,0.03591048758689397,0.00574998532212222,0.012564962136765572,0.016576332275418125
2031,0.006629500495393627,0.04028533313538823,0.006449426227605713,0.014094440054369398,0.018590894908456355
2032,0.007410374440379069,0.04503885425291727,0.007209059972072894,0.015755881135224522,0.02077820869373547
2033,0.008256231056750234,0.050190556478675936,0.008031904132389169,0.017555978020251287,0.023146776087317952
2034,0.009170175644595751,0.055760059107184144,0.00892098032933479,0.019501443848069035,0.02570508081048025
2035,0.010155302245735468,0.06176700827018677,0.0098793000847517,0.021598981094189222,0.028461545463968705
2036,0.011214677743804111,0.06822925450167319,0.010909849608031602,0.023855247949674918,0.03142448566459219
2037,0.01235132464652175,0.0751666925267851,0.012015573363282515,0.02627682186044518,0.03460206033681561
2038,0.01356820230559626,0.08259885355276703,0.013199356159796834,0.028870159650933376,0.03800221765584032
2039,0.014868186387578338,0.09054432952143038,0.014464003566051402,0.031641553795105054,0.04163263626364577
2040,0.016254046888133405,0.09902116738957772,0.015812220988824132,0.034597085514696015,0.04550066225792437
2041,0.017728424738659123,0.10804672934450947,0.017246591487766964,0.03774257480506285,0.0496132420167974
2042,0.0192938069786135,0.1176375444433837,0.01876955230904925,0.041083527307260254,0.053976850799751
2043,0.020952500524384198,0.12780935039607352,0.020383370187419033,0.04462507807168672,0.058597417182523565
2044,0.022706604589570124,0.13857866180388353,0.022090115489375783,0.048371932310510006,0.06348024344915532
2045,0.024558468527684535,0.14995676742615985,0.02389163522402222,0.05232830318095212,0.06862992205916602
2046,0.026509373054840038,0.16195528523131025,0.02578952501113815,0.05649784676509469,0.07405024843168587
2047,0.028560574378619665,0.17458414324533783,0.027785100139491724,0.0608835945023002,0.07974413039184641
2048,0.030713054570452366,0.1878514362010458,0.029879365942968958,0.06548788347160735,0.0857134947560578
2049,0.032967433557688754,0.20176350814539726,0.03207298773969967,0.07031228497584138,0.09195919161827404
2050,0.035323935732798385,0.2163237122738078,0.03436626040661902,0.07535753172487535,0.09848089687224301
2051,0.03778235624207345,0.23153344923135852,0.03675907780523205,0.08062344413005196,0.10527701369395079
2052,0.04034202725216716,0.24740278717663236,0.039250902341314786,0.0861088563460399,0.11234457384665612
2053,0.04300178443501061,0.2639068581297136,0.04184073479942375,0.09181154262753077,0.11967913972150321
2054,0.045759933967907035,0.281065074120598,0.04452708465694167,0.09772814468283421,0.12727470815915778
2055,0.0486142206545746,0.2988289493903599,0.04730794161353552,0.1038541012180445,0.13512361739442438
2056,0.051561797662471244,0.31719076308833377,0.05018074883913988,0.11018358070698325,0.14321645847251113
2057,0.054599198359585106,0.33616744330881465,0.05314237838785222,0.11670941842323428,0.151541992562566
2058,0.05772231083512434,0.3557194716817542,0.0561891093848479,0.12342305894440828,0.16008707573334788
2059,0.060926355717789135,0.3758196148234369,0.059316609616381626,0.13031450540452666,0.1688365928516968
2060,0.0642059109422742,0.3964378496547998,0.06251992089109924,0.13737227662117657,0.17777340228381047
2061,0.06755506242965119,0.41753979764490623,0.06579344873267859,0.14458337340399227,0.1868782931926213
2062,0.07096689413902715,0.43908071547884603,0.06913095704716138,0.1519332554388788,0.1961299572925129
2063,0.07443364982277652,0.46104456066575644,0.0725255684804211,0.15940583020659946,0.20550497696214326
2064,0.07794704135407142,0.4833577110779483,0.07596977116402072,0.16698345538415627,0.21497783161480433
2065,0.08149808251010963,0.5059841570384523,0.07945543231919841,0.17464695600718066,0.2245209241573937
2066,0.08508710737717573,0.5288659271628192,0.08297381928780069,0.18237565770875225,0.2341046293276966
2067,0.08869539740538367,0.551953256597298,0.08651562856355277,0.19014743730177722,0.24369736560336405
2068,0.09231188066480697,0.5752142309106533,0.09007102329146785,0.19793879182718124,0.25326569222020934
2069,0.0959251448317713,0.5985528810792707,0.09362967963950099,0.20572492704933218,0.2627744326441566
2070,0.09951350463816881,0.6218084691524913,0.09718084248618496,0.21347986628261117,0.27218682561820695
2071,0.10306493667595235,0.6450868550342789,0.1007133906914337,0.22117658016512462,0.2814647045989529
2072,0.10657468999144132,0.6682056114862007,0.10421591207665001,0.2287871377240954,0.2905687060465153
2073,0.11004597371539278,0.6910424704912124,0.10767678824611027,0.23628287887604324,0.29945850665432144
2074,0.11343183795907383,0.7136056535610943,0.11108428919767345,0.24363460815170473,0.3080930891494483
2075,0.11673578381341071,0.7357837395213265,0.11442667708679145,0.2508128087944077,0.3164310357321197
2076,0.11996358516315524,0.7574460273778847,0.11769231855315365,0.2577878761312796,0.3244308477154596
2077,0.12308497091930777,0.7785941566618406,0.12086980490257386,0.26453036874120645,0.33205128935894496
2078,0.1260868125106981,0.7991513004392274,0.12394807922433335,0.27101127549018356,0.3392517532788352
2079,0.12895619796990987,0.8190034319982797,0.12691656929663933,0.2772022960318658,0.3459926441886233
2080,0.13168104190927848,0.8381632024967696,0.12976532485798978,0.2830761318643362,0.35223577707890374
2081,0.13424997899776098,0.8565960406345241,0.1324851576333543,0.28860678458804595,0.3579447853227627
2082,0.13665246267180725,0.8740385637457586,0.13506778231432956,0.29376985757597546,0.3630855335916629
2083,0.13886015790597306,0.8905053592318956,0.13750595666221563,0.2985428569594667,0.3676265299287377
2084,0.14087265348223083,0.905993179507902,0.13979361869617496,0.3029054874418039,0.37153933081887136
2085,0.1427099080036694,0.9205106718237785,0.1419260182971551,0.3068399378240972,0.37479893259953256
2086,0.14437571821681314,0.9338607624734856,0.14389984072745576,0.31033115107712733,0.37738414227530787
2087,0.14584023476428778,0.9463606960885969,0.1457133195796695,0.3133670737027108,0.379277920608144
2088,0.14704905777967026,0.9577114266194607,0.14736633628401669,0.31593887884944916,0.38046769023576177
2089,0.14804157314878774,0.9681073704337497,0.14886050339616336,0.31804115776256947,0.3809456016697642
2090,0.14884940415737782,0.977312160306552,0.15019922997770277,0.3196720750030596,0.38070875043349395
2091,0.1495063442504541,0.9854845979969665,0.15138776696746833,0.3208334828364163,0.37975933895511993
2092,0.14996965739755314,0.9925080612907794,0.1524064999435117,0.32153099054355044,0.3781047774307283
2093,0.15018159900326264,0.9985937799163306,0.15329964544462266,0.3217739852194761,0.3757577187337964
2094,0.15017567197173742,1.0036167712375785,0.15408260902444812,0.32157560135873786,0.3727360234448337
2095,0.15001900159111958,1.0077588205065737,0.1547592988531915,0.32095263693454673,0.36906265214402806
2096,0.149725621084823,1.011276293252176,0.15533962576224192,0.3199254149586913,0.3647654835093215
2097,0.14924377238203046,1.0137873342616686,0.15583950786307357,0.318517590713164,0.3598770582567924
2098,0.14865471279614,1.0159121581896988,0.1562763375751158,0.31675590605067483,0.35443425054237443
2099,0.14795656083535863,1.0173032578410097,0.15666882591700385,0.3146698933674681,0.34847787008253717
2100,0.14714454749569406,1.0181305312592837,0.15703682352552523,0.3122915329361193,0.34205219988371927
