time,Sum_steel_stock,Sum_conc_stock,Sum_engwood_stock,Sum_dimlum_stock,Sum_masonry_stock
2017,3.626619262638684,1.8673487526623136,5.263537147793861,12.129562823986126,0.0
2018,3.690300623160334,1.905689346847647,5.360239555012042,12.352250748596505,0.0
2019,3.7427904598714803,1.937453650579858,5.439962422228956,12.535789203581581,0.0
2020,3.741937757966823,1.9370154411581935,5.438725445765569,12.532938631035904,0.0
2021,3.8122366839955224,1.9799108206647407,5.5455445489814075,12.778677411845056,0.0
2022,3.838501165332576,1.9961071717551824,5.585521589140732,12.870585742715946,0.0
2023,3.8653202266242914,2.0127597649553035,5.626376299090379,12.964442322398526,0.0
2024,3.9064960251730763,2.038455428926536,5.689113053788295,13.108429821610205,0.0
2025,3.9330463833807805,2.055251299009311,5.729666434654659,13.20136539755421,0.0
2026,4.015028890401996,2.1072485718357115,5.854847882714771,13.487683278897041,0.0
2027,4.091571580851633,2.1564628710652447,5.972092253802883,13.754877623763663,0.0
2028,4.1623531069634225,2.2026942739125777,6.081007755055425,14.001814765525928,0.0
2029,4.227137080774844,2.2457908045948414,6.181344172880225,14.22765041888239,0.0
2030,4.285788440080896,2.285657284666563,6.273016410283356,14.431887053676007,0.0
2031,4.308047963662584,2.30155677869279,6.308474962991323,14.509580658978287,0.0
2032,4.327333601544199,2.3158890600197526,6.339734106797804,14.576859392538172,0.0
2033,4.343699726006291,2.328684107528162,6.36691304206829,14.633906385422998,0.0
2034,4.357238448383668,2.3399928427619914,6.3901886353913255,14.681036019970158,0.0
2035,4.3680710784581,2.3498825431530284,6.409782154563882,14.71866429271478,0.0
2036,4.3761661251227855,2.3582930219011704,6.425644748296041,14.746688081131108,0.0
2037,4.381871057007875,2.3654613020702935,6.438372080603458,14.766300714813323,0.0
2038,4.385335074199577,2.371471393445461,6.448227540407612,14.778015302169184,0.0
2039,4.386702161045085,2.3764049194160735,6.455467319294146,14.782326495269727,0.0
2040,4.386105970767194,2.380338280555205,6.46033313834239,14.779692482137422,0.0
2041,4.382808600904955,2.38243363836614,6.461104138163689,14.767769772272716,0.0
2042,4.377879478617308,2.383724580550653,6.459998493628256,14.750075367603715,0.0
2043,4.3713876538430085,2.384253458792478,6.457162559456035,14.726841481500555,0.0
2044,4.3633888307531965,2.3840554452314895,6.452725980600813,14.698252399580833,0.0
2045,4.3539261098879045,2.3831588656028933,6.446803279211949,14.664446831888354,0.0
2046,4.342798714766454,2.3812494863927425,6.438697325775414,14.624879958169275,0.0
2047,4.330279135539569,2.378694312883384,6.429278414717411,14.580337049674776,0.0
