time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,0.10439797460628593,0.4867749920841132,0.1585508980568193,0.2945193998575747,0.11152249496566885
2018,0.17345781060361234,0.8039292076846303,0.27020082677968904,0.49073573305018214,0.18409470988322202
2019,0.14489428724903083,0.6666834526134199,0.23249027061210645,0.4113190805005476,0.15257620248421028
2020,0.0,0.0,0.0,0.0,0.0
2021,0.1990281865474899,0.8982758050853952,0.3437513945188759,0.5700039053831151,0.2052516591336776
2022,0.07784708507901664,0.3469470243424512,0.14059443482419076,0.22421042551726078,0.07919195768483002
2023,0.08154190872373696,0.3579898177274881,0.1548360911545913,0.2364066982218679,0.08160798192280451
2024,0.1266025790541688,0.5459806408586484,0.2541258062309621,0.36986626836149245,0.12427024649946226
2025,0.0863627110842739,0.36467261011742447,0.1841972460378588,0.25453390241619234,0.08284808333023418
2026,0.2643481481439223,1.0889516596637578,0.6018714314387306,0.7869223936985206,0.24683845775067065
2027,0.25779270277178057,1.0317887571249653,0.6290276417613423,0.7760517970385276,0.2332522246288365
2028,0.2509170030037728,0.971414204424888,0.6580952561449546,0.7647702466250191,0.21889853258128833
2029,0.24383273324162374,0.9087622097897973,0.6886669706480895,0.7532743136492308,0.20399902946108525
2030,0.2366730685287027,0.8449485840463369,0.7202545399528525,0.7417978668790404,0.1888184685778587
2031,0.10641372129437852,0.3620887185516391,0.3487081567626789,0.33863704685033585,0.08048631324527918
2032,0.10365815360361369,0.3345207905229447,0.36506223256819464,0.33508212812355187,0.07389922152387599
2033,0.10109225348817817,0.3080012171692234,0.38147552977644317,0.3320152812689769,0.06755533381558249
2034,0.09877047759628928,0.28296586227748527,0.39777686888699737,0.32953798540364965,0.06155786027132114
2035,0.09673634462537715,0.259756740263712,0.41383824840224287,0.32773314361966827,0.05598772038315404
2036,0.09391198139119337,0.23582504169741222,0.42456643205446926,0.3228500027441362,0.050306597528360544
2037,0.09257822447713354,0.2171579257554956,0.4399104949633846,0.32265517786168896,0.04580056492123507
2038,0.09158503765510216,0.20068359694165802,0.4549278562423886,0.3232477925897227,0.041808051601920776
2039,0.09093122380175077,0.1863624665603055,0.46966414938716544,0.32463421662865205,0.03831936117512534
2040,0.0906087110444925,0.17409705508800102,0.48419061746433606,0.3268088302040383,0.03531105825742515
2041,0.08062104043366136,0.1457072106436478,0.4436553317000603,0.2934218438255898,0.02914168988029584
2042,0.08111921261632855,0.13846347464378422,0.4577606308299616,0.2975691802672963,0.02730589132718383
2043,0.08187757529804483,0.13260479931671618,0.47202126066193223,0.3024012838753741,0.025790582903999718
2044,0.08288241406974278,0.1279915338167381,0.48652202785343335,0.3079011628866208,0.024562375384360537
2045,0.08412031895240508,0.12448936944552763,0.5013427278762973,0.3140515600660334,0.02358917571263459
2046,0.0809297404176512,0.11534722622387117,0.48849546421328793,0.3034069410546542,0.02160030125222769
2047,0.08265680173632978,0.11400011429356188,0.5042344924084934,0.3109733445350323,0.021118518415146323
2048,0.08457509994269927,0.11337494656693949,0.5205007930452623,0.3191278989375387,0.02079900984496659
2049,0.08667545999289844,0.11338900647170935,0.5373361569362476,0.32785616672255785,0.020622089118932582
2050,0.08894924176864548,0.1139693405276117,0.5547730446150176,0.3371431360541339,0.020570440484776076
