time,Sum_steel_inflow,Sum_conc_inflow,Sum_engwood_inflow,Sum_dimlum_inflow,Sum_masonry_inflow
2017,0.04074287781304707,0.02553113095370792,0.060287951452788424,0.1412648118918165,0.0
2018,0.06754322886529102,0.0421704153101881,0.10000301138721863,0.23424777628735688,0.0
2019,0.05626978685453717,0.03497586515187248,0.0833751568527932,0.1952082953049884,0.0
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0767541290246419,0.04714291866889775,0.11399096743962961,0.2664652939245287,0.0
2022,0.02988714389490699,0.01821272513546411,0.04446439246377484,0.10380269189932292,0.0
2023,0.031141799488917914,0.018797908047707326,0.046438530050969866,0.10820996909049212,0.0
2024,0.048057020200949825,0.02867936880543948,0.07188283337919213,0.1670655346009222,0.0
2025,0.032553144124738385,0.019163748254399333,0.04889010480692689,0.1132205097550214,0.0
2026,0.0988498821515661,0.05725430667803169,0.1492485113901201,0.3439450833610824,0.0
2027,0.095538611197095,0.05428207884595831,0.14524555352405225,0.33252752599812757,0.0
2028,0.0920737724799814,0.05114314983586439,0.14121550508052594,0.32051205193879345,0.0
2029,0.08851610365452915,0.047886141144519646,0.13726736121242672,0.3080893817418406,0.0
2030,0.08493655334335305,0.0445691225907228,0.13351539567851453,0.2954871111435409,0.0
2031,0.037734636518380604,0.01912226023167889,0.06028732129650427,0.13115131078350883,0.0
2032,0.03631080425643574,0.017690990068130887,0.05911720270939974,0.1260129813559875,0.0
2033,0.03498312350841877,0.016314647986631816,0.058178465260412905,0.12114700366858569,0.0
2034,0.033777080919842085,0.015015929237245252,0.05748828647225332,0.11664449002866481,0.0
2035,0.03271162460559844,0.013812645352338076,0.05705028575921105,0.11257764860819795,0.0
2036,0.03142752606608516,0.012568669402787171,0.056193102317814346,0.10772518420122561,0.0
2037,0.03069032274877002,0.011602611608008264,0.05624468672773465,0.10472828373050852,0.0
2038,0.030108098311750313,0.010751094559713776,0.05650243926500802,0.10225014351335138,0.0
2039,0.02967615292880904,0.010012063739703954,0.05694546123488342,0.10028588689964159,0.0
2040,0.02938682984858188,0.009380448674929988,0.05755395495116313,0.09881886048877925,0.0
2041,0.026009848100473576,0.00787406109058268,0.0518853703486485,0.0870451895849913,0.0
2042,0.026055190405295022,0.007504666877154109,0.052828885548467056,0.0868031132835471,0.0
2043,0.026202529289395902,0.007207783921229358,0.05388834659864537,0.08692957056134569,0.0
2044,0.026444024531635687,0.006976143199353735,0.055056638780936334,0.08739875382049443,0.0
2045,0.026772445294839218,0.006802754342559759,0.056328522091805035,0.08818564306728745,0.0
2046,0.025704721441107244,0.006318168210358415,0.0545657831389093,0.0844175365540296,0.0
2047,0.026209728175227907,0.006257855672555875,0.05605698896350742,0.08585428072380513,0.0
2048,0.026781705366147945,0.0062355505554751,0.057641952543209606,0.08753353963484127,0.0
2049,0.02741650745539667,0.006246950420390142,0.059319073407680785,0.08943907357194938,0.0
2050,0.028110399484160543,0.0062882601831197255,0.06108680217299754,0.09155606277733119,0.0
2051,0.02820358715387908,0.006211585097076656,0.06151190218140928,0.09173593434201492,0.0
2052,0.029007394372323806,0.006305387422355323,0.06345507510125177,0.09424405570722759,0.0
2053,0.02986022593632952,0.006419845490158813,0.06548272290313785,0.09692363684343452,0.0
2054,0.030759113964803478,0.006552744120346579,0.06759190847415356,0.09976327689227672,0.0
2055,0.03170105005331586,0.006702097734267591,0.06977907301335373,0.10275166426902357,0.0
2056,0.03269349609393752,0.006868326488845688,0.07206327305356498,0.1059116117340881,0.0
2057,0.033711971901779464,0.007045305860294972,0.07439278424330281,0.10916262665780088,0.0
2058,0.034763642187080425,0.007233736457659504,0.0767852326179831,0.11252693145846622,0.0
2059,0.035844789136947414,0.007432148218848366,0.07923399487662998,0.11599162392532356,0.0
2060,0.036951422438334644,0.00763912435870051,0.08173159581664649,0.11954304885750477,0.0
2061,0.037598586862882824,0.007754149127061561,0.08320596963438928,0.12161198965427762,0.0
2062,0.03874053955040554,0.00797379945921195,0.08576940687873637,0.12528469476618512,0.0
2063,0.0398942168467376,0.008197863584858425,0.08835422607061452,0.12899793949894864,0.0
2064,0.041054402944582506,0.008424972693539423,0.09094955461613233,0.13273447373603908,0.0
2065,0.042215579191130545,0.008653742369034916,0.09354374274818475,0.13647612718964858,0.0
2066,0.04436978001701718,0.009087130860798699,0.09833590907182202,0.1434294634030994,0.0
2067,0.04550909681349759,0.009313577708411612,0.10087672235956359,0.14710329360705254,0.0
2068,0.046631442164326554,0.00953748546363997,0.10337777887937555,0.15072349903040955,0.0
2069,0.04773035222571803,0.009757395422694257,0.10582506147582174,0.1542690073656244,0.0
2070,0.04879924252903441,0.009971845444994387,0.10820423702382441,0.15771838411004233,0.0
2071,0.046421400159072444,0.009482783538246782,0.10293900457606081,0.15002904458874425,0.0
2072,0.047415346529023544,0.009683176914847406,0.1051491263733152,0.15323786823235191,0.0
2073,0.04835928342212926,0.009873737950765916,0.10724747530214225,0.15628557412720795,0.0
2074,0.04924683872221084,0.010053111254378097,0.10922004417561326,0.15915149726666136,0.0
2075,0.05007189291206354,0.01022000112370071,0.11105336743525572,0.16181579967494936,0.0
2076,0.05202196714391676,0.010616718728986346,0.11538138196828783,0.16811606476732593,0.0
2077,0.05269797729370351,0.0107535971783893,0.11688320671324048,0.17029924855620704,0.0
2078,0.053295721472237045,0.010874676849204934,0.11821104471081478,0.17222973558266585,0.0
2079,0.053811013574036934,0.010979077980083334,0.11935566969738597,0.17389396416576558,0.0
2080,0.054240382924400206,0.011066070647064056,0.12030943342213075,0.17528068970474855,0.0
2081,0.050398679652824366,0.010281824685831413,0.11178929850773253,0.1628654038557316,0.0
2082,0.05064248972784454,0.010331181468443636,0.11233096973432133,0.16365277860522187,0.0
2083,0.05079511728589779,0.010362003417681417,0.11267023504520972,0.1641455825032019,0.0
2084,0.050856707032424724,0.010374309743755672,0.11280743900765877,0.1643442695063124,0.0
2085,0.05082843825401945,0.010368332262263635,0.11274521746744828,0.16425263890370675,0.0
2086,0.05142405366000011,0.010489655263031986,0.1140667829480574,0.16617714482784918,0.0
2087,0.05121783902931086,0.010447448432451836,0.11360969190252439,0.1655105721256295,0.0
2088,0.05093175093419625,0.010388976007899767,0.11297536632093873,0.16458592398346814,0.0
2089,0.050571123194713255,0.010315321455502041,0.11217564787060826,0.1634204306490994,0.0
2090,0.05014223010450361,0.010227760793362082,0.11122446271286175,0.1620343624587051,0.0
2091,0.046396275873783886,0.009463621835615157,0.10291539684580446,0.14992925347209657,0.0
2092,0.045827698246724065,0.009347600036702583,0.10165429534722854,0.14809183652504593,0.0
2093,0.04521471093507986,0.00922252946966305,0.10029466300980706,0.14611092276231316,0.0
2094,0.044566303696198656,0.009090242058420843,0.09885644475987163,0.1440155602037319,0.0
2095,0.04389179563416309,0.008952637195995417,0.09736031540888196,0.14183586153666572,0.0
2096,0.043115155640507,0.008794205623202767,0.0956376261815075,0.13932613153935933,0.0
2097,0.04241788970770712,0.008651968204165777,0.09409099409589212,0.13707290349575788,0.0
2098,0.041722731586083917,0.008510164086211589,0.09254902982368736,0.13482649128812618,0.0
2099,0.041038600634794954,0.008370611892415263,0.09103151971280676,0.13261571684826695,0.0
2100,0.040373890849385405,0.008235023206070897,0.08955708448292515,0.13046770455888135,0.0
